Series,X,Y
0.5 sun 125C,0.099125001,4.25532E-05
0.5 sun 125C,1,0.000574468
0.5 sun 125C,2.002288798,0.000723404
0.5 sun 125C,2.973599279,0.000851064
0.5 sun 125C,4.080252344,0.00106383
0.5 sun 125C,5.901907063,0.001297872
0.5 sun 125C,9.912500132,0.001489362
0.5 sun 125C,14.98209405,0.001914894
0.5 sun 125C,19.67402096,0.002234043
0.5 sun 125C,30.53042321,0.002893617
0.5 sun 125C,40.09160429,0.003382979
0.5 sun 125C,59.54004524,0.004319149
0.5 sun 125C,80.27497014,0.005085106
0.5 sun 125C,99.12500132,0.00593617
0.5 sun 125C,148.5100093,0.007489362
0.5 sun 125C,198.4768797,0.008744681
0.5 sun 125C,299.9847908,0.010829787
0.5 sun 125C,400.9160429,0.012340426
0.5 sun 125C,495.0584623,0.013595745
0.5 sun 125C,600.6561861,0.014595745
0.5 sun 125C,795.7256521,0.01612766
0.5 sun 125C,991.2500132,0.017297872
0.5 sun 125C,1485.100093,0.01912766
0.5 sun 125C,1984.768797,0.020085106
0.5 sun 125C,2999.847908,0.021021277
0.5 sun 125C,4009.160429,0.021510638
0.5 sun 125C,5038.37022,0.021765957
0.5 sun 125C,6006.561861,0.02193617
0.5 sun 125C,8027.497014,0.021787234
0.5 sun 125C,10267.16122,0.02087234
0.5 sun 125C,14982.09405,0.017021277
0.5 sun 125C,20022.88798,0.011744681
0.5 sun 125C,24724.62828,0.006148936
0.5 sun 125C,24942.87814,0.005744681
0.5 sun 125C,29998.47908,0.001893617
0.5 sun 125C,31901.91796,0.001042553
0.5 sun 125C,34225.60588,0.000468085
0.5 sun 125C,37699.52496,0.000106383
0.5 sun 125C,39740.80328,-6.38298E-05
0.5 sun 125C,43011.81669,-0.000212766
0.5 sun 125C,49505.84623,-0.000255319
0.5 sun 125C,55497.67753,-0.000255319
0.5 sun 150C,0.1,4.25532E-05
0.5 sun 150C,0.991250013,0.000574468
0.5 sun 150C,2.002288798,0.000744681
0.5 sun 150C,2.999847908,0.00093617
0.5 sun 150C,4.009160429,0.001021277
0.5 sun 150C,6.059583134,0.001340426
0.5 sun 150C,7.887630631,0.001510638
0.5 sun 150C,10,0.001723404
0.5 sun 150C,14.85100093,0.002212766
0.5 sun 150C,19.84768797,0.002617021
0.5 sun 150C,29.73599279,0.003297872
0.5 sun 150C,40.09160429,0.003851064
0.5 sun 150C,60.06561861,0.004723404
0.5 sun 150C,80.27497014,0.005361702
0.5 sun 150C,100,0.005744681
0.5 sun 150C,149.8209405,0.006787234
0.5 sun 150C,203.7794123,0.007319149
0.5 sun 150C,299.9847908,0.008042553
0.5 sun 150C,390.4838292,0.008148936
0.5 sun 150C,503.837022,0.008276596
0.5 sun 150C,605.9583134,0.008340426
0.5 sun 150C,691.3447298,0.008404255
0.5 sun 150C,809.8357535,0.008468085
0.5 sun 150C,907.8524442,0.008638298
0.5 sun 150C,991.2500132,0.008638298
0.5 sun 150C,1256.714544,0.009191489
0.5 sun 150C,1485.100093,0.008404255
0.5 sun 150C,1984.768797,0.00793617
0.5 sun 150C,2999.847908,0.006489362
0.5 sun 150C,4009.160429,0.004765957
0.5 sun 150C,4950.584623,0.003276596
0.5 sun 150C,6006.561861,0.001829787
0.5 sun 150C,6913.447298,0.001021277
0.5 sun 150C,7818.613967,0.000425532
0.5 sun 150C,8999.087473,0.000148936
0.5 sun 150C,10000,-4.25532E-05
0.5 sun 150C,11015.00587,-0.000170213
0.5 sun 150C,12240.13646,-0.000234043
0.5 sun 150C,12902.89083,-0.000234043
0.5 sun 150C,14212.54182,-0.000234043
0.5 sun 175C,6974.473852,-0.000744681
0.5 sun 175C,6331.793134,-0.000765957
0.5 sun 175C,5901.907063,-0.000765957
0.5 sun 175C,5311.177792,-0.000787234
0.5 sun 175C,4907.267073,-0.000765957
0.5 sun 175C,3974.080328,-0.000744681
0.5 sun 175C,3422.560588,-0.000680851
0.5 sun 175C,2999.847908,-0.000574468
0.5 sun 175C,2019.963451,0.000191489
0.5 sun 175C,1472.105486,0.001212766
0.5 sun 175C,1000,0.003021277
0.5 sun 175C,899.9087473,0.003
0.5 sun 175C,781.8613967,0.003468085
0.5 sun 175C,703.6039101,0.004276596
0.5 sun 175C,595.4004524,0.004212766
0.5 sun 175C,490.7267073,0.004595745
0.5 sun 175C,397.4080328,0.005255319
0.5 sun 175C,201.9963451,0.005531915
0.5 sun 175C,151.1434437,0.005212766
0.5 sun 175C,79.57256521,0.004723404
0.5 sun 175C,59.01907063,0.004531915
0.5 sun 175C,39.39307177,0.004446809
0.5 sun 175C,29.73599279,0.004148936
0.5 sun 175C,19.67402096,0.003340426
0.5 sun 175C,14.85100093,0.002893617
0.5 sun 175C,10.08827225,0.001702128
0.5 sun 175C,8.027497014,0.001297872
0.5 sun 175C,6.059583134,0.001021277
0.5 sun 175C,3.974080328,0.000851064
0.5 sun 175C,2.973599279,0.000617021
0.5 sun 175C,1.984768797,0.000404255
0.5 sun 175C,0.103577918,6.38298E-05
