,Temperature,"Spectra: [ 280, 305, 330, 355, 380, ]"
2021-01-01 00:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 01:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 02:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 03:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 04:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 05:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 06:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 07:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 08:00:00-07:00,12.0,"[7.253794037271629e-24, 1.5523216006631568e-05, 0.007368485952750496, 0.0104777357884447, 0.010741606839548105]"
2021-01-01 09:00:00-07:00,16.0,"[2.896897425768773e-23, 6.960449624348e-05, 0.023972815400728917, 0.0268543893326956, 0.025007916111757615]"
2021-01-01 10:00:00-07:00,20.0,"[1.7392314996627856e-22, 0.0003515647907417974, 0.034504528546393375, 0.034167234782659386, 0.030001455169523093]"
2021-01-01 11:00:00-07:00,23.0,"[5.458355468884943e-22, 0.0007298185118106849, 0.03145567880152535, 0.028743915194335005, 0.02524560225984681]"
2021-01-01 12:00:00-07:00,25.0,"[1.0656895965345052e-21, 0.0009736230611737244, 0.03006515565296458, 0.026729495352579975, 0.02375958296790027]"
2021-01-01 13:00:00-07:00,26.0,"[1.2117992078346251e-21, 0.00106659618722261, 0.03356759118957676, 0.029924996078376696, 0.025942683109639094]"
2021-01-01 14:00:00-07:00,26.0,"[7.393711625740826e-22, 0.0009405367573080275, 0.042429960490766486, 0.039627145238941536, 0.03368108672917873]"
2021-01-01 15:00:00-07:00,23.0,"[1.855628655818212e-22, 0.0003702009594453964, 0.03521356228487682, 0.03489190481062976, 0.030480113192300907]"
2021-01-01 16:00:00-07:00,19.0,"[2.3195619893606398e-23, 5.552455940210967e-05, 0.018200654975616487, 0.020239242235022256, 0.018786834935282038]"
2021-01-01 17:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 18:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 19:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 20:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 21:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 22:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-01 23:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-02 00:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-02 01:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-02 02:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-02 03:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-02 04:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-02 05:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-02 06:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-02 07:00:00-07:00,0.0,"[nan, nan, nan, nan, nan]"
2021-01-02 08:00:00-07:00,13.0,"[7.648587727103496e-24, 1.621980051156729e-05, 0.007686564926323141, 0.010936225576627457, 0.011217167353807709]"
2021-01-02 09:00:00-07:00,17.0,"[3.048860485468642e-23, 7.327970174705664e-05, 0.025275249808334635, 0.02828447913887981, 0.026360294138492394]"
2021-01-02 10:00:00-07:00,20.0,"[1.8621272419740894e-22, 0.00037624673121704514, 0.03683350105786354, 0.03647323169274766, 0.031996061655544715]"
2021-01-02 11:00:00-07:00,23.0,"[5.610850878407798e-22, 0.0007460787341601256, 0.0320544822785126, 0.029253565012828206, 0.02566919283947096]"
2021-01-02 12:00:00-07:00,24.0,"[1.098042775416478e-21, 0.0009920428338562228, 0.03044799083012164, 0.02703928354301048, 0.02400136844383442]"
2021-01-02 13:00:00-07:00,25.0,"[1.2659672961249226e-21, 0.0010973183822497185, 0.0342123910699136, 0.030442343003775935, 0.026356238450130007]"
2021-01-02 14:00:00-07:00,25.0,"[8.104857847871398e-22, 0.0010179033870051028, 0.045341493078918264, 0.042306140952573706, 0.03594516097369177]"
2021-01-02 15:00:00-07:00,23.0,"[2.0675547736854934e-22, 0.00041012744950608626, 0.03829395877861251, 0.03788733994440939, 0.03306460343590822]"
