step_length,step_divisions,temperature,temperature_ramp,relative_humidity,relative_humidity_ramp,voltage,voltage_ramp,time_resolution,irradiance_340,irradiance_340_ramp,irradiance_300-400,irradiance_300-400_ramp,irradiance_full,irradiance_full_ramp
[minutes],unitless,[C],[C/min],[%],[%/min],[V],[V/min],[min],[W/m^2/nm @340 nm],[(W/m^2/nm @340 nm)/min],[W/m^2],[(W/m^2/nm @300-400 nm)/min],[W/m^2/nm],[(W/m^2/nm)/min]
1,1,25,0,50,0,0,0,60,0,0,-1,-1,-1,-1
1500,1500,90,0,30,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,40,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,90,0,30,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,40,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,90,0,40,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,60,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,90,0,30,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,40,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,90,0,40,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,60,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,40,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,90,0,40,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,60,0,85,0,0,0,60,450,0,-1,-1,-1,-1
6000,6000,85,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,40,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,90,0,40,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,60,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,90,0,85,0,0,0,60,450,0,-1,-1,-1,-1
3000,3000,85,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,40,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,90,0,40,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,40,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,90,0,40,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,60,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,40,0,85,0,0,0,60,450,0,-1,-1,-1,-1
1500,1500,60,0,85,0,0,0,60,450,0,-1,-1,-1,-1
3000,3000,85,0,85,0,0,0,60,450,0,-1,-1,-1,-1
