gid,latitude,longitude,elevation,timezone,country,state,county
389874,38.57,-109.06,2494,-7,United States,Colorado,Mesa
389875,38.53,-109.06,2189,-7,United States,Colorado,Mesa
389876,38.49,-109.06,2300,-7,United States,Colorado,Montrose
389877,38.45,-109.06,2349,-7,United States,Colorado,Montrose
389878,38.41,-109.06,2330,-7,United States,Colorado,Montrose
389879,38.37,-109.06,2238,-7,United States,Colorado,Montrose
389880,38.33,-109.06,2050,-7,United States,Colorado,Montrose
389881,38.29,-109.06,2238,-7,United States,Colorado,Montrose
390695,40.97,-109.02,2597,-7,United States,Colorado,Moffat
390696,40.93,-109.02,2456,-7,United States,Colorado,Moffat
390697,40.89,-109.02,2035,-7,United States,Colorado,Moffat
390698,40.85,-109.02,1723,-7,United States,Colorado,Moffat
390699,40.81,-109.02,1747,-7,United States,Colorado,Moffat
390700,40.77,-109.02,2057,-7,United States,Colorado,Moffat
390701,40.73,-109.02,2282,-7,United States,Colorado,Moffat
390702,40.69,-109.02,2108,-7,United States,Colorado,Moffat
390703,40.65,-109.02,2173,-7,United States,Colorado,Moffat
390704,40.61,-109.02,2363,-7,United States,Colorado,Moffat
390705,40.57,-109.02,2347,-7,United States,Colorado,Moffat
390706,40.53,-109.02,1901,-7,United States,Colorado,Moffat
390707,40.49,-109.02,1792,-7,United States,Colorado,Moffat
390708,40.45,-109.02,2090,-7,United States,Colorado,Moffat
390709,40.41,-109.02,2390,-7,United States,Colorado,Moffat
390710,40.37,-109.02,2221,-7,United States,Colorado,Moffat
390711,40.33,-109.02,1909,-7,United States,Colorado,Moffat
390712,40.29,-109.02,1867,-7,United States,Colorado,Moffat
390713,40.25,-109.02,1820,-7,United States,Colorado,Moffat
390714,40.21,-109.02,1781,-7,United States,Colorado,Rio Blanco
390715,40.17,-109.02,1750,-7,United States,Colorado,Rio Blanco
390716,40.13,-109.02,1713,-7,United States,Colorado,Rio Blanco
390717,40.09,-109.02,1665,-7,United States,Colorado,Rio Blanco
390718,40.05,-109.02,1622,-7,United States,Colorado,Rio Blanco
390719,40.01,-109.02,1772,-7,United States,Colorado,Rio Blanco
390720,39.97,-109.02,1872,-7,United States,Colorado,Rio Blanco
390721,39.93,-109.02,1994,-7,United States,Colorado,Rio Blanco
390722,39.89,-109.02,2067,-7,United States,Colorado,Rio Blanco
390723,39.85,-109.02,2036,-7,United States,Colorado,Rio Blanco
390724,39.81,-109.02,1941,-7,United States,Colorado,Rio Blanco
390725,39.77,-109.02,1830,-7,United States,Colorado,Rio Blanco
390726,39.73,-109.02,1917,-7,United States,Colorado,Rio Blanco
390727,39.69,-109.02,2042,-7,United States,Colorado,Rio Blanco
390728,39.65,-109.02,2257,-7,United States,Colorado,Garfield
390729,39.61,-109.02,2470,-7,United States,Colorado,Garfield
390730,39.57,-109.02,2566,-7,United States,Colorado,Garfield
390731,39.53,-109.02,2474,-7,United States,Colorado,Garfield
390732,39.49,-109.02,2220,-7,United States,Colorado,Garfield
390733,39.45,-109.02,2083,-7,United States,Colorado,Garfield
390734,39.41,-109.02,1704,-7,United States,Colorado,Garfield
390735,39.37,-109.02,1581,-7,United States,Colorado,Garfield
390736,39.33,-109.02,1541,-7,United States,Colorado,Mesa
390737,39.29,-109.02,1520,-7,United States,Colorado,Mesa
390738,39.25,-109.02,1494,-7,United States,Colorado,Mesa
390739,39.21,-109.02,1504,-7,United States,Colorado,Mesa
390740,39.17,-109.02,1451,-7,United States,Colorado,Mesa
390741,39.13,-109.02,1435,-7,United States,Colorado,Mesa
390742,39.09,-109.02,1612,-7,United States,Colorado,Mesa
390743,39.05,-109.02,1699,-7,United States,Colorado,Mesa
390744,39.01,-109.02,1828,-7,United States,Colorado,Mesa
390745,38.97,-109.02,2014,-7,United States,Colorado,Mesa
390746,38.93,-109.02,2210,-7,United States,Colorado,Mesa
390747,38.89,-109.02,2359,-7,United States,Colorado,Mesa
390748,38.85,-109.02,2460,-7,United States,Colorado,Mesa
390749,38.81,-109.02,2132,-7,United States,Colorado,Mesa
390750,38.77,-109.02,1578,-7,United States,Colorado,Mesa
390751,38.73,-109.02,1447,-7,United States,Colorado,Mesa
390752,38.69,-109.02,1655,-7,United States,Colorado,Mesa
390753,38.65,-109.02,1884,-7,United States,Colorado,Mesa
390754,38.61,-109.02,2201,-7,United States,Colorado,Mesa
390755,38.57,-109.02,2381,-7,United States,Colorado,Mesa
390756,38.53,-109.02,1937,-7,United States,Colorado,Mesa
390757,38.49,-109.02,1829,-7,United States,Colorado,Montrose
390758,38.45,-109.02,2340,-7,United States,Colorado,Montrose
390759,38.41,-109.02,2056,-7,United States,Colorado,Montrose
390760,38.37,-109.02,2034,-7,United States,Colorado,Montrose
390761,38.33,-109.02,1944,-7,United States,Colorado,Montrose
390762,38.29,-109.02,2114,-7,United States,Colorado,Montrose
390763,38.25,-109.02,1903,-7,United States,Colorado,Montrose
390764,38.21,-109.02,1763,-7,United States,Colorado,Montrose
390765,38.17,-109.02,2014,-7,United States,Colorado,Montrose
390766,38.13,-109.02,2072,-7,United States,Colorado,San Miguel
390767,38.09,-109.02,1927,-7,United States,Colorado,San Miguel
390768,38.05,-109.02,2079,-7,United States,Colorado,San Miguel
390769,38.01,-109.02,2262,-7,United States,Colorado,San Miguel
390770,37.97,-109.02,2149,-7,United States,Colorado,San Miguel
390771,37.93,-109.02,2189,-7,United States,Colorado,San Miguel
390772,37.89,-109.02,2125,-7,United States,Colorado,San Miguel
390773,37.85,-109.02,2065,-7,United States,Colorado,Dolores
390774,37.81,-109.02,2027,-7,United States,Colorado,Dolores
390775,37.77,-109.02,2033,-7,United States,Colorado,Dolores
390776,37.73,-109.02,2007,-7,United States,Colorado,Dolores
390777,37.69,-109.02,1999,-7,United States,Colorado,Dolores
390778,37.65,-109.02,2016,-7,United States,Colorado,Dolores
390779,37.61,-109.02,1935,-7,United States,Colorado,Dolores
390780,37.57,-109.02,1946,-7,United States,Colorado,Dolores
390781,37.53,-109.02,1889,-7,United States,Colorado,Dolores
390782,37.49,-109.02,1708,-7,United States,Colorado,Montezuma
390783,37.45,-109.02,1752,-7,United States,Colorado,Montezuma
390784,37.41,-109.02,1674,-7,United States,Colorado,Montezuma
390785,37.37,-109.02,1605,-7,United States,Colorado,Montezuma
390786,37.33,-109.02,1539,-7,United States,Colorado,Montezuma
390787,37.29,-109.02,1560,-7,United States,Colorado,Montezuma
390788,37.25,-109.02,1563,-7,United States,Colorado,Montezuma
390789,37.21,-109.02,1558,-7,United States,Colorado,Montezuma
390790,37.17,-109.02,1504,-7,United States,Colorado,Montezuma
390791,37.13,-109.02,1500,-7,United States,Colorado,Montezuma
390792,37.09,-109.02,1536,-7,United States,Colorado,Montezuma
390793,37.05,-109.02,1495,-7,United States,Colorado,Montezuma
390794,37.01,-109.02,1468,-7,United States,Colorado,Montezuma
391576,40.97,-108.98,2501,-7,United States,Colorado,Moffat
391577,40.93,-108.98,2494,-7,United States,Colorado,Moffat
391578,40.89,-108.98,2115,-7,United States,Colorado,Moffat
391579,40.85,-108.98,1732,-7,United States,Colorado,Moffat
391580,40.81,-108.98,1661,-7,United States,Colorado,Moffat
391581,40.77,-108.98,1868,-7,United States,Colorado,Moffat
391582,40.73,-108.98,2185,-7,United States,Colorado,Moffat
391583,40.69,-108.98,2227,-7,United States,Colorado,Moffat
391584,40.65,-108.98,2078,-7,United States,Colorado,Moffat
391585,40.61,-108.98,2045,-7,United States,Colorado,Moffat
391586,40.57,-108.98,1973,-7,United States,Colorado,Moffat
391587,40.53,-108.98,1708,-7,United States,Colorado,Moffat
391588,40.49,-108.98,1710,-7,United States,Colorado,Moffat
391589,40.45,-108.98,2041,-7,United States,Colorado,Moffat
391590,40.41,-108.98,2370,-7,United States,Colorado,Moffat
391591,40.37,-108.98,2268,-7,United States,Colorado,Moffat
391592,40.33,-108.98,2080,-7,United States,Colorado,Moffat
391593,40.29,-108.98,1999,-7,United States,Colorado,Moffat
391594,40.25,-108.98,1857,-7,United States,Colorado,Moffat
