interpolation:linear
wavelength,value
280.0,2.8119999999999996e-41
280.5,1.177e-38
281.0,1.631e-37
281.5,6.099e-35
282.0,2.197e-33
282.5,2.332e-32
283.0,3.148e-31
283.5,1.037e-30
284.0,3.5030000000000003e-28
284.5,3.904e-27
285.0,3.2500000000000006e-26
285.5,1.111e-24
286.0,9.54e-24
286.5,1.893e-22
287.0,1.59e-21
287.5,2.4170000000000003e-20
288.0,4.931e-19
288.5,4.368e-18
289.0,3.343e-17
289.5,3.084e-16
290.0,2.102e-15
290.5,9.045e-15
291.0,4.691e-14
291.5,4.044e-13
292.0,2.246e-12
292.5,5.255e-12
293.0,2.146e-11
293.5,1.237e-10
294.0,3.497e-10
294.5,9.135e-10
295.0,2.641e-09
295.5,1.18e-08
296.0,3.227e-08
296.5,6.256e-08
297.0,1.095e-07
297.5,4.162e-07
298.0,8.648e-07
298.5,1.066e-06
299.0,2.834e-06
299.5,6.225e-06
300.0,7.921e-06
300.5,1.317e-05
301.0,2.859e-05
301.5,5.229e-05
302.0,4.785e-05
302.5,0.00011
303.0,0.0002397
303.5,0.0003361
304.0,0.0003303
304.5,0.0005376
305.0,0.0009025
305.5,0.0011
306.0,0.001098
306.5,0.001423
307.0,0.002251
307.5,0.003155
308.0,0.0034
308.5,0.004135
309.0,0.003881
309.5,0.004962
310.0,0.005259
310.5,0.008796
311.0,0.01152
311.5,0.01141
312.0,0.01221
312.5,0.01554
313.0,0.01733
313.5,0.01681
314.0,0.022
314.5,0.02048
315.0,0.0274
315.5,0.02286
316.0,0.02072
316.5,0.03064
317.0,0.03847
317.5,0.04033
318.0,0.03216
318.5,0.04099
319.0,0.04943
319.5,0.04043
320.0,0.04933
320.5,0.06308
321.0,0.05695
321.5,0.05523
322.0,0.05936
322.5,0.05223
323.0,0.05271
323.5,0.06538
324.0,0.07726
324.5,0.0789
325.0,0.06919
325.5,0.08985
326.0,0.1112
326.5,0.1128
327.0,0.1135
327.5,0.1107
328.0,0.09878
328.5,0.1057
329.0,0.1278
329.5,0.1463
330.0,0.1492
330.5,0.1207
331.0,0.1241
331.5,0.1275
332.0,0.1387
332.5,0.1381
333.0,0.1392
333.5,0.1274
334.0,0.1318
334.5,0.1531
335.0,0.1448
335.5,0.1662
336.0,0.116
336.5,0.141
337.0,0.1169
337.5,0.1467
338.0,0.144
338.5,0.1643
339.0,0.1652
339.5,0.1596
340.0,0.1923
340.5,0.1747
341.0,0.1695
341.5,0.1586
342.0,0.1916
342.5,0.1811
343.0,0.1996
343.5,0.1885
344.0,0.1414
344.5,0.1415
345.0,0.1915
345.5,0.1979
346.0,0.17
346.5,0.1942
347.0,0.2092
347.5,0.1701
348.0,0.1964
348.5,0.1981
349.0,0.1853
349.5,0.1848
350.0,0.2303
350.5,0.2446
351.0,0.2196
351.5,0.2135
352.0,0.2319
352.5,0.1827
353.0,0.2321
353.5,0.25
354.0,0.2614
354.5,0.2667
355.0,0.2674
355.5,0.2433
356.0,0.2563
356.5,0.2202
357.0,0.183
357.5,0.2254
358.0,0.1798
358.5,0.1545
359.0,0.2174
359.5,0.2784
360.0,0.2969
360.5,0.2388
361.0,0.2191
361.5,0.254
362.0,0.2212
362.5,0.3081
363.0,0.2785
363.5,0.2581
364.0,0.3176
364.5,0.273
365.0,0.2795
365.5,0.3528
366.0,0.3761
366.5,0.3554
367.0,0.348
367.5,0.3631
368.0,0.3195
368.5,0.3241
369.0,0.3519
369.5,0.3771
370.0,0.4041
370.5,0.3153
371.0,0.3387
371.5,0.4259
372.0,0.284
372.5,0.3423
373.0,0.35
373.5,0.2289
374.0,0.3342
374.5,0.2782
375.0,0.2717
375.5,0.4076
376.0,0.3394
376.5,0.3533
377.0,0.3759
377.5,0.4419
378.0,0.4811
378.5,0.4568
379.0,0.3787
379.5,0.3474
380.0,0.3628
380.5,0.4417
381.0,0.4448
381.5,0.3544
382.0,0.3163
382.5,0.271
383.0,0.2521
383.5,0.2439
384.0,0.2702
384.5,0.3992
385.0,0.3976
385.5,0.3719
386.0,0.3199
386.5,0.4222
387.0,0.3522
387.5,0.3973
388.0,0.3683
388.5,0.3657
389.0,0.3963
389.5,0.482
390.0,0.4857
390.5,0.4488
391.0,0.5305
391.5,0.5432
392.0,0.4593
392.5,0.4129
393.0,0.2307
393.5,0.1683
394.0,0.3438
394.5,0.4388
395.0,0.5374
395.5,0.5478
396.0,0.4767
396.5,0.2798
397.0,0.2108
397.5,0.4303
398.0,0.6045
398.5,0.627
399.0,0.6817
399.5,0.6818
400.0,0.7101
401.0,0.7344
402.0,0.7803
403.0,0.7464
404.0,0.7396
405.0,0.7441
406.0,0.7369
407.0,0.7299
408.0,0.7627
409.0,0.8212
410.0,0.7218
411.0,0.7865
412.0,0.85
413.0,0.8332
414.0,0.8483
415.0,0.8556
416.0,0.8758
417.0,0.8589
418.0,0.8476
419.0,0.8634
420.0,0.864
421.0,0.9088
422.0,0.8683
423.0,0.8526
424.0,0.9062
425.0,0.9093
426.0,0.8905
427.0,0.8779
428.0,0.8588
429.0,0.8177
430.0,0.719
431.0,0.7156
432.0,0.9286
433.0,0.9381
434.0,0.8746
435.0,0.917
436.0,1.038
437.0,1.029
438.0,0.9408
439.0,0.9758
440.0,1.011
441.0,1.053
442.0,1.134
443.0,1.108
444.0,1.136
445.0,1.115
446.0,1.069
447.0,1.16
448.0,1.182
449.0,1.192
450.0,1.23
451.0,1.281
452.0,1.238
453.0,1.169
454.0,1.224
455.0,1.236
456.0,1.27
457.0,1.295
458.0,1.254
459.0,1.252
460.0,1.259
461.0,1.292
462.0,1.307
463.0,1.301
464.0,1.283
465.0,1.271
466.0,1.288
467.0,1.267
468.0,1.286
469.0,1.297
470.0,1.258
471.0,1.26
472.0,1.331
473.0,1.316
474.0,1.321
475.0,1.334
476.0,1.297
477.0,1.303
478.0,1.343
479.0,1.34
480.0,1.346
481.0,1.377
482.0,1.388
