interpolation:linear
wavelength,value
280.0,5.384e-30
280.5,4.329000000000001e-28
281.0,3.2789999999999996e-27
281.5,2.4840000000000003e-25
282.0,3.392e-24
282.5,1.8709999999999998e-23
283.0,1.2309999999999999e-22
283.5,2.8319999999999996e-22
284.0,1.8100000000000002e-20
284.5,9.438e-20
285.0,3.457e-19
285.5,4.496e-18
286.0,2.609e-17
286.5,2.316e-16
287.0,1.075e-15
287.5,7.51e-15
288.0,5.75e-14
288.5,3.026e-13
289.0,1.354e-12
289.5,6.918e-12
290.0,2.909e-11
290.5,8.352e-11
291.0,2.661e-10
291.5,1.235e-09
292.0,4.141e-09
292.5,7.294e-09
293.0,2.069e-08
293.5,7.26e-08
294.0,1.468e-07
294.5,2.977e-07
295.0,6.26e-07
295.5,1.887e-06
296.0,3.943e-06
296.5,5.921e-06
297.0,8.458e-06
297.5,2.421e-05
298.0,4.001e-05
298.5,4.161e-05
299.0,9.427e-05
299.5,0.0001607
300.0,0.000179
300.5,0.0002611
301.0,0.0004698
301.5,0.0007375
302.0,0.0006269
302.5,0.001264
303.0,0.002347
303.5,0.003002
304.0,0.002819
304.5,0.004125
305.0,0.006036
305.5,0.006765
306.0,0.006527
306.5,0.008029
307.0,0.01145
307.5,0.01461
308.0,0.01545
308.5,0.01794
309.0,0.01624
309.5,0.01886
310.0,0.01911
310.5,0.03119
311.0,0.03939
311.5,0.0383
312.0,0.03823
312.5,0.04647
313.0,0.05053
313.5,0.04974
314.0,0.06182
314.5,0.05404
315.0,0.07126
315.5,0.06079
316.0,0.05243
316.5,0.07438
317.0,0.09307
317.5,0.09814
318.0,0.07603
318.5,0.09229
319.0,0.1085
319.5,0.09142
320.0,0.1117
320.5,0.1362
321.0,0.1183
321.5,0.1138
322.0,0.1265
322.5,0.1106
323.0,0.1084
323.5,0.1288
324.0,0.1508
324.5,0.1555
325.0,0.1395
325.5,0.1771
326.0,0.213
326.5,0.2118
327.0,0.2135
327.5,0.2089
328.0,0.1902
328.5,0.1972
329.0,0.2333
329.5,0.2649
330.0,0.2702
330.5,0.2207
331.0,0.2272
331.5,0.23
332.0,0.246
332.5,0.2429
333.0,0.2447
333.5,0.2255
334.0,0.2328
334.5,0.2665
335.0,0.2498
335.5,0.285
336.0,0.1982
336.5,0.2414
337.0,0.2003
337.5,0.251
338.0,0.2436
338.5,0.2763
339.0,0.2766
339.5,0.2664
340.0,0.3212
340.5,0.2907
341.0,0.2803
341.5,0.2611
342.0,0.3143
342.5,0.2961
343.0,0.3257
343.5,0.307
344.0,0.2306
344.5,0.2294
345.0,0.3087
345.5,0.3179
346.0,0.2721
346.5,0.3099
347.0,0.3331
347.5,0.2702
348.0,0.3108
348.5,0.3127
349.0,0.2916
349.5,0.2899
350.0,0.3602
350.5,0.3816
351.0,0.3419
351.5,0.3319
352.0,0.3593
352.5,0.2822
353.0,0.3574
353.5,0.3841
354.0,0.4006
354.5,0.4079
355.0,0.408
355.5,0.3702
356.0,0.389
356.5,0.3335
357.0,0.2767
357.5,0.3401
358.0,0.2706
358.5,0.2322
359.0,0.3259
359.5,0.4167
360.0,0.4435
360.5,0.3559
361.0,0.3258
361.5,0.3765
362.0,0.3268
362.5,0.454
363.0,0.4092
363.5,0.3783
364.0,0.4643
364.5,0.3982
365.0,0.407
365.5,0.5126
366.0,0.545
366.5,0.5139
367.0,0.5022
367.5,0.5229
368.0,0.4591
368.5,0.4648
369.0,0.5037
369.5,0.5386
370.0,0.5761
370.5,0.4486
371.0,0.4809
371.5,0.6035
372.0,0.4019
372.5,0.4834
373.0,0.4932
373.5,0.3219
374.0,0.4692
374.5,0.3898
375.0,0.38
375.5,0.5691
376.0,0.4732
376.5,0.4918
377.0,0.5223
377.5,0.6128
378.0,0.6663
378.5,0.6317
379.0,0.5229
379.5,0.4791
380.0,0.4996
380.5,0.607
381.0,0.6101
381.5,0.485
382.0,0.432
382.5,0.3694
383.0,0.3429
383.5,0.3312
384.0,0.3664
384.5,0.5403
385.0,0.5373
