interpolation:linear
wavelength,value
280.0,0.0
280.5,0.0
281.0,1.261e-44
281.5,1.3469999999999998e-41
282.0,9.501e-40
282.5,1.585e-38
283.0,3.5209999999999997e-37
283.5,1.4860000000000001e-36
284.0,1.59e-33
284.5,2.997e-32
285.0,4.403e-31
285.5,2.9399999999999997e-29
286.0,3.309e-28
286.5,1.145e-26
287.0,1.45e-25
287.5,3.778e-24
288.0,1.5189999999999997e-22
288.5,1.9290000000000002e-21
289.0,2.1400000000000003e-20
289.5,2.971e-19
290.0,2.83e-18
290.5,1.611e-17
291.0,1.171e-16
291.5,1.55e-15
292.0,1.22e-14
292.5,3.475e-14
293.0,1.826e-13
293.5,1.484e-12
294.0,5.291e-12
294.5,1.647e-11
295.0,5.935e-11
295.5,3.481e-10
296.0,1.147e-09
296.5,2.655e-09
297.0,5.346e-09
297.5,2.474e-08
298.0,6.022e-08
298.5,8.358e-08
299.0,2.479e-07
299.5,6.494e-07
300.0,9.061e-07
300.5,1.648e-06
301.0,4.077e-06
301.5,8.289e-06
302.0,7.984e-06
302.5,2.011e-05
303.0,4.895e-05
303.5,7.313e-05
304.0,7.418e-05
304.5,0.0001299
305.0,0.0002399
305.5,0.0003097
306.0,0.0003167
306.5,0.0004255
307.0,0.0007234
307.5,0.001082
308.0,0.001182
308.5,0.001483
309.0,0.001428
309.5,0.001951
310.0,0.002134
310.5,0.003629
311.0,0.004876
311.5,0.004894
312.0,0.005493
312.5,0.007212
313.0,0.008187
313.5,0.007867
314.0,0.01067
314.5,0.01037
315.0,0.01402
315.5,0.01152
316.0,0.01081
316.5,0.01644
317.0,0.02069
317.5,0.02161
318.0,0.01759
318.5,0.02318
319.0,0.02845
319.5,0.0228
320.0,0.0278
320.5,0.03673
321.0,0.03406
321.5,0.03321
322.0,0.03489
322.5,0.03083
323.0,0.03175
323.5,0.04057
324.0,0.04826
324.5,0.04894
325.0,0.04226
325.5,0.05575
326.0,0.07043
326.5,0.07238
327.0,0.07279
327.5,0.07078
328.0,0.06232
328.5,0.06818
329.0,0.08367
329.5,0.09634
330.0,0.09826
330.5,0.07895
331.0,0.0811
331.5,0.08412
332.0,0.09263
332.5,0.09282
333.0,0.09356
333.5,0.08528
334.0,0.08832
334.5,0.1036
335.0,0.0986
335.5,0.1137
336.0,0.0795
336.5,0.09651
337.0,0.07997
337.5,0.1005
338.0,0.09942
338.5,0.114
339.0,0.1149
339.5,0.1112
340.0,0.1339
340.5,0.122
341.0,0.1189
341.5,0.1117
342.0,0.1352
342.5,0.1281
343.0,0.1414
343.5,0.1337
344.0,0.1002
344.5,0.1007
345.0,0.1367
345.5,0.1417
346.0,0.122
346.5,0.1397
347.0,0.1507
347.5,0.1228
348.0,0.1421
348.5,0.1436
349.0,0.1347
349.5,0.1346
350.0,0.168
350.5,0.1788
351.0,0.1607
351.5,0.1565
352.0,0.1704
352.5,0.1345
353.0,0.1712
353.5,0.1848
354.0,0.1935
354.5,0.1977
355.0,0.1985
355.5,0.181
356.0,0.191
356.5,0.1644
357.0,0.1368
357.5,0.1687
358.0,0.1347
358.5,0.116
359.0,0.1634
359.5,0.2095
360.0,0.2238
360.5,0.1803
361.0,0.1657
361.5,0.1925
362.0,0.168
362.5,0.2345
363.0,0.2123
363.5,0.1972
364.0,0.243
364.5,0.2092
365.0,0.2145
365.5,0.2712
366.0,0.2895
366.5,0.2741
367.0,0.2688
367.5,0.2808
368.0,0.2474
368.5,0.2514
369.0,0.2733
369.5,0.2933
370.0,0.3148
370.5,0.246
371.0,0.2646
371.5,0.3331
372.0,0.2224
372.5,0.2684
373.0,0.2749
373.5,0.18
374.0,0.2632
374.5,0.2194
375.0,0.2146
375.5,0.3221
376.0,0.2686
376.5,0.2799
377.0,0.2982
377.5,0.351
378.0,0.3825
378.5,0.3636
379.0,0.3017
379.5,0.277
380.0,0.2896
380.5,0.353
381.0,0.3561
381.5,0.2841
382.0,0.2539
382.5,0.2179
383.0,0.203
383.5,0.1966
384.0,0.2181
384.5,0.3226
385.0,0.3216
385.5,0.3012
386.0,0.2594
386.5,0.3428
387.0,0.2863
387.5,0.3232
388.0,0.3
388.5,0.2982
389.0,0.3235
389.5,0.3938
390.0,0.3973
390.5,0.3675
391.0,0.4349
391.5,0.4457
392.0,0.3772
392.5,0.3395
393.0,0.1899
393.5,0.1387
394.0,0.2836
394.5,0.3624
395.0,0.4442
395.5,0.4531
396.0,0.3947
396.5,0.232
397.0,0.1749
397.5,0.3574
398.0,0.5024
398.5,0.5216
399.0,0.5678
399.5,0.5684
400.0,0.5924
401.0,0.6139
402.0,0.6536
403.0,0.6264
404.0,0.6217
405.0,0.6265
406.0,0.6217
407.0,0.6169
408.0,0.6455
409.0,0.6961
410.0,0.6129
411.0,0.6689
412.0,0.7243
413.0,0.7108
414.0,0.7249
415.0,0.7324
416.0,0.751
417.0,0.7375
418.0,0.7288
419.0,0.7435
420.0,0.745
421.0,0.7848
422.0,0.7508
423.0,0.7383
424.0,0.7857
425.0,0.7895
426.0,0.7746
427.0,0.7644
428.0,0.7486
429.0,0.714
430.0,0.6286
431.0,0.6261
432.0,0.8139
433.0,0.8232
434.0,0.7683
435.0,0.8061
436.0,0.9138
437.0,0.9071
438.0,0.8307
439.0,0.8618
440.0,0.8943
441.0,0.9324
442.0,1.005
443.0,0.9825
444.0,1.009
445.0,0.9908
446.0,0.9512
447.0,1.034
448.0,1.054
449.0,1.065
450.0,1.1
451.0,1.146
452.0,1.109
453.0,1.048
454.0,1.099
455.0,1.11
456.0,1.142
457.0,1.166
458.0,1.129
459.0,1.129
460.0,1.136
461.0,1.166
462.0,1.181
463.0,1.176
464.0,1.161
465.0,1.152
466.0,1.168
467.0,1.15
468.0,1.168
469.0,1.178
470.0,1.144
471.0,1.146
472.0,1.211
473.0,1.198
474.0,1.202
475.0,1.215
476.0,1.18
477.0,1.186
478.0,1.224
479.0,1.222
480.0,1.23
481.0,1.259
482.0,1.271
483.0,1.261
484.0,1.239
485.0,1.184
486.0,1.039
487.0,1.093
488.0,1.202
489.0,1.208
490.0,1.275
491.0,1.258
492.0,1.191
493.0,1.233
494.0,1.248
495.0,1.262
496.0,1.273
497.0,1.296
498.0,1.239
499.0,1.257
500.0,1.223
501.0,1.203
502.0,1.187
503.0,1.236
504.0,1.199
505.0,1.252
506.0,1.294
507.0,1.234
508.0,1.2
509.0,1.238
510.0,1.235
511.0,1.272
512.0,1.289
513.0,1.223
514.0,1.218
515.0,1.208
516.0,1.207
517.0,1.075
518.0,1.132
519.0,1.19
520.0,1.235
521.0,1.249
522.0,1.252
523.0,1.231
524.0,1.276
525.0,1.292
526.0,1.236
527.0,1.165
528.0,1.234
529.0,1.302
530.0,1.284
531.0,1.305
532.0,1.262
533.0,1.227
534.0,1.266
535.0,1.296
536.0,1.311
537.0,1.261
538.0,1.286
539.0,1.277
540.0,1.225
541.0,1.233
542.0,1.273
543.0,1.263
544.0,1.285
545.0,1.283
546.0,1.288
547.0,1.291
548.0,1.278
549.0,1.284
550.0,1.302
551.0,1.288
552.0,1.298
553.0,1.277
554.0,1.309
555.0,1.312
556.0,1.297
557.0,1.257
558.0,1.248
559.0,1.226
560.0,1.242
561.0,1.258
562.0,1.25
563.0,1.284
564.0,1.249
565.0,1.238
566.0,1.221
567.0,1.243
568.0,1.23
569.0,1.194
570.0,1.196
571.0,1.192
572.0,1.217
573.0,1.23
574.0,1.226
575.0,1.202
576.0,1.192
577.0,1.207
578.0,1.192
579.0,1.202
580.0,1.231
581.0,1.243
582.0,1.272
583.0,1.279
584.0,1.293
585.0,1.264
586.0,1.239
587.0,1.265
588.0,1.225
589.0,1.066
590.0,1.118
591.0,1.196
592.0,1.175
593.0,1.202
594.0,1.192
595.0,1.156
596.0,1.219
597.0,1.203
598.0,1.206
599.0,1.21
600.0,1.217
601.0,1.211
602.0,1.204
603.0,1.227
604.0,1.249
605.0,1.244
606.0,1.241
607.0,1.256
608.0,1.245
609.0,1.249
610.0,1.243
611.0,1.251
612.0,1.249
