interpolation:linear
wavelength,value
280.0,1.483e-21
280.5,3.2260000000000004e-20
281.0,1.502e-19
281.5,3.278e-18
282.0,2.1e-17
282.5,6.941e-17
283.0,2.609e-16
283.5,4.513e-16
284.0,8.141e-15
284.5,2.376e-14
285.0,6.173e-14
285.5,4.003e-13
286.0,1.732e-12
286.5,8.612e-12
287.0,2.596e-11
287.5,1.042e-10
288.0,3.465e-10
288.5,1.252e-09
289.0,3.813e-09
289.5,1.284e-08
290.0,3.831e-08
290.5,8.236e-08
291.0,1.869e-07
291.5,5.731e-07
292.0,1.264e-06
292.5,1.789e-06
293.0,3.866e-06
293.5,9.49e-06
294.0,1.491e-05
294.5,2.906e-05
295.0,5.02e-05
295.5,0.0001021
296.0,0.0001781
296.5,0.0002257
297.0,0.000282
297.5,0.0006719
298.0,0.0009586
298.5,0.0008935
299.0,0.00183
299.5,0.002671
300.0,0.002739
300.5,0.003692
301.0,0.005955
301.5,0.008565
302.0,0.006958
302.5,0.01262
303.0,0.02061
303.5,0.02447
304.0,0.02214
304.5,0.02999
305.0,0.03982
305.5,0.04201
306.0,0.0394
306.5,0.04658
307.0,0.06181
307.5,0.07402
308.0,0.07685
308.5,0.08628
309.0,0.08109
309.5,0.08628
310.0,0.08376
310.5,0.1334
311.0,0.1627
311.5,0.1551
312.0,0.1458
312.5,0.1703
313.0,0.1808
313.5,0.1789
314.0,0.213
314.5,0.177
315.0,0.2299
315.5,0.1983
316.0,0.1643
316.5,0.2255
317.0,0.2801
317.5,0.295
318.0,0.2231
318.5,0.2612
319.0,0.301
319.5,0.257
320.0,0.3126
320.5,0.3686
321.0,0.3112
321.5,0.2967
322.0,0.3344
322.5,0.2899
323.0,0.2782
323.5,0.3296
324.0,0.3823
324.5,0.394
325.0,0.3472
325.5,0.4333
326.0,0.524
326.5,0.5143
327.0,0.516
327.5,0.5028
328.0,0.4596
328.5,0.4676
329.0,0.5458
329.5,0.6147
330.0,0.6235
330.5,0.5085
331.0,0.5213
331.5,0.522
332.0,0.5522
332.5,0.541
333.0,0.5421
333.5,0.498
334.0,0.5112
334.5,0.5795
335.0,0.5391
335.5,0.6292
336.0,0.4351
336.5,0.512
337.0,0.4229
337.5,0.5271
338.0,0.5073
338.5,0.585
339.0,0.5786
339.5,0.5563
340.0,0.6539
340.5,0.5884
341.0,0.5739
341.5,0.5266
342.0,0.629
342.5,0.5882
343.0,0.6468
343.5,0.609
344.0,0.4496
344.5,0.4542
345.0,0.6005
345.5,0.6127
346.0,0.5204
346.5,0.5889
347.0,0.6321
347.5,0.5109
348.0,0.5821
348.5,0.5815
349.0,0.5392
349.5,0.5336
350.0,0.6596
350.5,0.6955
351.0,0.6213
351.5,0.6039
352.0,0.6481
352.5,0.5055
353.0,0.6363
353.5,0.6801
354.0,0.7058
354.5,0.7157
355.0,0.7131
355.5,0.6439
356.0,0.6734
356.5,0.5749
357.0,0.475
357.5,0.5813
358.0,0.4606
358.5,0.3935
359.0,0.5504
359.5,0.7014
360.0,0.7433
360.5,0.5939
361.0,0.5412
361.5,0.6227
362.0,0.5381
362.5,0.7442
363.0,0.668
363.5,0.615
364.0,0.7518
364.5,0.6424
365.0,0.6541
365.5,0.8207
366.0,0.8692
366.5,0.8163
367.0,0.7947
367.5,0.8246
368.0,0.7214
368.5,0.7277
369.0,0.7856
369.5,0.8371
370.0,0.8921
370.5,0.6921
371.0,0.7393
371.5,0.9248
372.0,0.6137
372.5,0.7357
373.0,0.748
373.5,0.4866
374.0,0.7068
374.5,0.5852
375.0,0.5687
375.5,0.849
376.0,0.7037
376.5,0.7291
377.0,0.7717
377.5,0.9027
378.0,0.9784
378.5,0.9247
379.0,0.7631
379.5,0.6971
380.0,0.7246
380.5,0.8774
381.0,0.8789
381.5,0.6964
382.0,0.6182
382.5,0.5268
383.0,0.4875
383.5,0.4694
384.0,0.5177
384.5,0.7613
385.0,0.7548
385.5,0.7027
386.0,0.6017
386.5,0.7902
387.0,0.6565
387.5,0.7373
388.0,0.6806
388.5,0.6726
389.0,0.7259
389.5,0.879
390.0,0.882
390.5,0.8115
391.0,0.9551
391.5,0.974
392.0,0.8203
392.5,0.7342
393.0,0.4084
393.5,0.2968
394.0,0.6038
394.5,0.7675
395.0,0.9364
395.5,0.9512
396.0,0.8245
396.5,0.4818
397.0,0.3615
397.5,0.7351
398.0,1.029
398.5,1.064
399.0,1.152
399.5,1.148
400.0,1.192
401.0,1.213
402.0,1.279
403.0,1.214
404.0,1.195
405.0,1.194
406.0,1.174
407.0,1.155
408.0,1.2
409.0,1.284
410.0,1.121
411.0,1.214
412.0,1.303
413.0,1.27
414.0,1.285
415.0,1.288
416.0,1.31
417.0,1.277
418.0,1.253
419.0,1.269
420.0,1.263
421.0,1.321
422.0,1.255
423.0,1.226
424.0,1.296
425.0,1.293
426.0,1.259
427.0,1.235
428.0,1.203
429.0,1.139
430.0,0.996
431.0,0.9873
432.0,1.274
433.0,1.28
434.0,1.189
435.0,1.242
436.0,1.398
437.0,1.378
438.0,1.254
439.0,1.298
440.0,1.339
441.0,1.387
442.0,1.487
443.0,1.449
444.0,1.479
445.0,1.447
446.0,1.38
447.0,1.491
448.0,1.515
449.0,1.519
450.0,1.561
451.0,1.618
452.0,1.559
453.0,1.466
454.0,1.529
455.0,1.538
456.0,1.575
457.0,1.601
458.0,1.547
459.0,1.538
460.0,1.542
461.0,1.578
462.0,1.589
463.0,1.578
464.0,1.551
465.0,1.53
466.0,1.544
467.0,1.516
468.0,1.534
469.0,1.542
470.0,1.493
471.0,1.49
472.0,1.57
473.0,1.55
474.0,1.553
475.0,1.567
476.0,1.522
477.0,1.527
478.0,1.569
479.0,1.558
480.0,1.56
481.0,1.588
482.0,1.595
483.0,1.575
484.0,1.542
485.0,1.468
486.0,1.283
487.0,1.343
488.0,1.474
489.0,1.479
490.0,1.555
491.0,1.528
492.0,1.443
493.0,1.49
