interpolation:linear
wavelength,value
280.0,4.1459999999999996e-22
280.5,5.526e-21
281.0,2.281e-20
281.5,3.973e-19
282.0,2.288e-18
282.5,7.068e-18
283.0,2.483e-17
283.5,4.126e-17
284.0,6.662e-16
284.5,1.841e-15
285.0,6.315e-15
285.5,4.144e-14
286.0,1.787e-13
286.5,8.92e-13
287.0,2.684e-12
287.5,1.076e-11
288.0,3.056e-11
288.5,1.163e-10
289.0,3.755e-10
289.5,1.359e-09
290.0,4.31e-09
290.5,9.771e-09
291.0,2.385e-08
291.5,8.138e-08
292.0,1.75e-07
292.5,2.596e-07
293.0,6.016e-07
293.5,1.652e-06
294.0,2.822e-06
294.5,6.403e-06
295.0,1.211e-05
295.5,2.352e-05
296.0,4.289e-05
296.5,5.679e-05
297.0,7.347e-05
297.5,0.000185
298.0,0.0002763
298.5,0.0002665
299.0,0.0005642
299.5,0.0008757
300.0,0.0009259
300.5,0.001288
301.0,0.002189
301.5,0.003292
302.0,0.002726
302.5,0.004959
303.0,0.008144
303.5,0.009693
304.0,0.008786
304.5,0.01206
305.0,0.01637
305.5,0.01749
306.0,0.01642
306.5,0.01953
307.0,0.02642
307.5,0.03222
308.0,0.03342
308.5,0.03776
309.0,0.03786
309.5,0.04009
310.0,0.03877
310.5,0.06148
311.0,0.07477
311.5,0.07099
312.0,0.06678
312.5,0.07798
313.0,0.08257
313.5,0.08115
314.0,0.09674
314.5,0.0808
315.0,0.1046
315.5,0.08935
316.0,0.07433
316.5,0.1024
317.0,0.1266
317.5,0.1324
318.0,0.1003
318.5,0.1184
319.0,0.1367
319.5,0.1149
320.0,0.1389
320.5,0.1653
321.0,0.1408
321.5,0.1338
322.0,0.148
322.5,0.1279
323.0,0.1233
323.5,0.1508
324.0,0.1746
324.5,0.178
325.0,0.1513
325.5,0.1895
326.0,0.2355
326.5,0.2319
327.0,0.231
327.5,0.2233
328.0,0.2011
328.5,0.2062
329.0,0.2421
329.5,0.2724
330.0,0.2744
330.5,0.221
331.0,0.2249
331.5,0.2256
332.0,0.2397
332.5,0.2348
333.0,0.2336
333.5,0.2122
334.0,0.2167
334.5,0.2464
335.0,0.2292
335.5,0.2755
336.0,0.1898
336.5,0.2144
337.0,0.1757
337.5,0.2178
338.0,0.2101
338.5,0.248
339.0,0.2427
339.5,0.2334
340.0,0.2661
340.5,0.2385
341.0,0.237
341.5,0.2143
342.0,0.2542
342.5,0.2361
343.0,0.26
343.5,0.2448
344.0,0.1767
344.5,0.1829
345.0,0.2374
345.5,0.2401
346.0,0.2025
346.5,0.2278
347.0,0.2445
347.5,0.1971
348.0,0.2223
348.5,0.2205
349.0,0.2033
349.5,0.2005
350.0,0.2467
350.5,0.259
351.0,0.2309
351.5,0.2251
352.0,0.2394
352.5,0.1852
353.0,0.2318
353.5,0.2464
354.0,0.2544
354.5,0.2567
355.0,0.2549
355.5,0.229
356.0,0.2384
356.5,0.2026
357.0,0.1666
357.5,0.2029
358.0,0.16
358.5,0.1361
359.0,0.1895
359.5,0.2407
360.0,0.2539
360.5,0.2018
361.0,0.183
361.5,0.2097
362.0,0.1805
362.5,0.2486
363.0,0.2222
363.5,0.2038
364.0,0.248
364.5,0.211
365.0,0.2139
365.5,0.2673
366.0,0.2818
366.5,0.2636
367.0,0.2555
367.5,0.2639
368.0,0.2299
368.5,0.2309
369.0,0.2482
369.5,0.2633
370.0,0.2794
370.5,0.2159
371.0,0.2296
371.5,0.2859
372.0,0.1889
372.5,0.2255
373.0,0.2283
373.5,0.1479
374.0,0.2139
374.5,0.1763
375.0,0.1706
375.5,0.2536
376.0,0.2093
376.5,0.2159
377.0,0.2275
377.5,0.265
378.0,0.2859
378.5,0.2689
379.0,0.2209
379.5,0.2008
380.0,0.2077
380.5,0.2504
381.0,0.2497
381.5,0.197
382.0,0.1741
382.5,0.1477
383.0,0.1361
383.5,0.1305
384.0,0.1433
384.5,0.2098
385.0,0.2071
385.5,0.192
386.0,0.1637
386.5,0.214
387.0,0.177
387.5,0.1979
388.0,0.1818
388.5,0.1789
389.0,0.1923
389.5,0.2318
390.0,0.2315
390.5,0.2121
391.0,0.2485
391.5,0.2523
392.0,0.2115
392.5,0.1885
393.0,0.1044
393.5,0.07554
394.0,0.153
394.5,0.1937
395.0,0.2353
395.5,0.238
396.0,0.2054
396.5,0.1195
397.0,0.08928
397.5,0.1807
398.0,0.252
398.5,0.2593
399.0,0.2795
399.5,0.2774
400.0,0.2868
