interpolation:linear
wavelength,value
280.0,2.242e-22
280.5,7.396e-21
281.0,3.969e-20
281.5,3.896e-19
282.0,6.244e-19
282.5,1.548e-18
283.0,4.896e-18
283.5,7.975e-18
284.0,1.316e-16
284.5,3.845e-16
285.0,6.297e-16
285.5,3.146e-15
286.0,1.269e-14
286.5,5.725e-14
287.0,1.645e-13
287.5,6.351e-13
288.0,2.228e-12
288.5,6.667e-12
289.0,1.764e-11
289.5,5.303e-11
290.0,1.469e-10
290.5,2.992e-10
291.0,6.419e-10
291.5,1.842e-09
292.0,3.696e-09
292.5,5.191e-09
293.0,1.115e-08
293.5,2.718e-08
294.0,4.255e-08
294.5,5.824e-08
295.0,9.877e-08
295.5,1.636e-07
296.0,3.173e-07
296.5,4.464e-07
297.0,6.07e-07
297.5,1.643e-06
298.0,2.612e-06
298.5,2.647e-06
299.0,5.88e-06
299.5,9.915e-06
300.0,1.1e-05
300.5,1.609e-05
301.0,2.96e-05
301.5,4.787e-05
302.0,4.123e-05
302.5,8.305e-05
303.0,0.000156
303.5,0.0002036
304.0,0.0001985
304.5,0.0003271
305.0,0.0005726
305.5,0.0007201
306.0,0.0007229
306.5,0.0009576
307.0,0.001633
307.5,0.00249
308.0,0.00269
308.5,0.003405
309.0,0.003432
309.5,0.0044
310.0,0.004656
310.5,0.007737
311.0,0.01013
311.5,0.009958
312.0,0.0109
312.5,0.01408
313.0,0.01576
313.5,0.01486
314.0,0.01996
314.5,0.01944
315.0,0.02597
315.5,0.02076
316.0,0.01956
316.5,0.02998
317.0,0.03718
317.5,0.03799
318.0,0.03098
318.5,0.04187
319.0,0.05185
319.5,0.03947
320.0,0.0472
320.5,0.06439
321.0,0.06195
321.5,0.05986
322.0,0.05874
322.5,0.05132
323.0,0.05395
323.5,0.06985
324.0,0.08227
324.5,0.0817
325.0,0.06856
325.5,0.09211
326.0,0.1143
326.5,0.1178
327.0,0.1162
327.5,0.1108
328.0,0.09498
328.5,0.1045
329.0,0.1298
329.5,0.1491
330.0,0.1491
330.5,0.116
331.0,0.1171
331.5,0.1216
332.0,0.1354
332.5,0.1359
333.0,0.1344
333.5,0.119
334.0,0.1215
334.5,0.1439
335.0,0.1373
335.5,0.161
336.0,0.1114
336.5,0.1291
337.0,0.1048
337.5,0.1299
338.0,0.1296
338.5,0.1506
339.0,0.1493
339.5,0.1436
340.0,0.1678
340.5,0.1517
341.0,0.1486
341.5,0.1368
342.0,0.1637
342.5,0.1533
343.0,0.1685
343.5,0.1585
344.0,0.1167
344.5,0.1183
345.0,0.157
345.5,0.1606
346.0,0.1367
346.5,0.155
347.0,0.1662
347.5,0.1344
348.0,0.1536
348.5,0.1537
349.0,0.1428
349.5,0.1415
350.0,0.1751
350.5,0.1848
351.0,0.165
351.5,0.1602
352.0,0.1724
352.5,0.1347
353.0,0.1699
353.5,0.1819
354.0,0.189
354.5,0.1917
355.0,0.1911
355.5,0.1729
356.0,0.181
356.5,0.1546
357.0,0.1278
357.5,0.1566
358.0,0.1242
358.5,0.1062
359.0,0.1485
