interpolation:linear
wavelength,value
280.0,6.234000000000001e-20
280.5,1.725e-18
281.0,1.464e-18
281.5,4.788e-19
282.0,2.17e-18
282.5,6.208e-18
283.0,2.08e-17
283.5,3.438e-17
284.0,5.418e-16
284.5,1.527e-15
285.0,3.199e-15
285.5,2.019e-14
286.0,8.699e-14
286.5,4.279e-13
287.0,1.288e-12
287.5,5.185e-12
288.0,1.531e-11
288.5,6.114e-11
289.0,2.068e-10
289.5,7.833e-10
290.0,2.582e-09
290.5,6.054e-09
291.0,1.522e-08
291.5,5.285e-08
292.0,1.397e-07
292.5,2.189e-07
293.0,5.402e-07
293.5,1.597e-06
294.0,2.897e-06
294.5,3.758e-06
295.0,7.277e-06
295.5,1.726e-05
296.0,3.257e-05
296.5,4.452e-05
297.0,5.91e-05
297.5,0.0001538
298.0,0.000236
298.5,0.0002326
299.0,0.0005023
299.5,0.0008026
300.0,0.0008644
300.5,0.001225
301.0,0.002135
301.5,0.003289
302.0,0.002766
302.5,0.005199
303.0,0.008877
303.5,0.01082
304.0,0.009939
304.5,0.01398
305.0,0.01953
305.5,0.02126
306.0,0.02017
306.5,0.02432
307.0,0.03361
307.5,0.04179
308.0,0.04367
308.5,0.04991
309.0,0.04801
309.5,0.0525
310.0,0.05163
310.5,0.08273
311.0,0.102
311.5,0.09771
312.0,0.094
312.5,0.1115
313.0,0.1193
313.5,0.1173
314.0,0.1421
314.5,0.1209
315.0,0.1577
315.5,0.1346
316.0,0.1136
316.5,0.1585
317.0,0.1969
317.5,0.2065
318.0,0.1579
318.5,0.1888
319.0,0.2198
319.5,0.1847
320.0,0.2242
320.5,0.2699
321.0,0.2321
321.5,0.2217
322.0,0.2452
322.5,0.2129
323.0,0.2069
323.5,0.2484
324.0,0.2888
324.5,0.2961
325.0,0.2591
325.5,0.3267
326.0,0.3969
326.5,0.3923
327.0,0.3928
327.5,0.3816
328.0,0.3457
328.5,0.3557
329.0,0.4189
329.5,0.473
330.0,0.479
330.5,0.3883
331.0,0.3972
331.5,0.3998
332.0,0.426
332.5,0.4187
333.0,0.419
333.5,0.383
334.0,0.393
334.5,0.4482
335.0,0.4183
335.5,0.4885
336.0,0.338
336.5,0.397
337.0,0.3272
337.5,0.4077
338.0,0.3943
338.5,0.4549
339.0,0.45
339.5,0.4329
340.0,0.5088
340.5,0.4581
341.0,0.4469
341.5,0.4101
342.0,0.49
342.5,0.4583
343.0,0.5041
343.5,0.4748
344.0,0.3507
344.5,0.3543
345.0,0.4686
345.5,0.4783
346.0,0.4063
346.5,0.46
347.0,0.4939
347.5,0.3993
348.0,0.455
348.5,0.4547
349.0,0.4217
349.5,0.4175
350.0,0.5162
350.5,0.5445
351.0,0.4864
351.5,0.4729
352.0,0.5077
352.5,0.3961
353.0,0.4987
353.5,0.5332
354.0,0.5535
354.5,0.5613
355.0,0.5594
355.5,0.5053
356.0,0.5286
356.5,0.4513
357.0,0.3729
357.5,0.4565
358.0,0.3617
358.5,0.3091
359.0,0.4324
359.5,0.551
360.0,0.5841
360.5,0.4668
361.0,0.4255
361.5,0.4898
362.0,0.4234
362.5,0.5858
363.0,0.5261
363.5,0.4845
364.0,0.5924
364.5,0.5064
365.0,0.5157
365.5,0.6472
366.0,0.6856
366.5,0.6441
367.0,0.6272
367.5,0.6508
368.0,0.5695
368.5,0.5746
369.0,0.6205
369.5,0.6613
370.0,0.7049
370.5,0.5471
371.0,0.5845
371.5,0.7313
372.0,0.4853
372.5,0.5819
373.0,0.5919
373.5,0.3851
374.0,0.5595
374.5,0.4633
375.0,0.4504
375.5,0.6724
376.0,0.5574
376.5,0.5776
377.0,0.6115
377.5,0.7154
378.0,0.7755
378.5,0.733
379.0,0.6049
379.5,0.5526
380.0,0.5745
380.5,0.6958
381.0,0.6972
381.5,0.5526
382.0,0.4907
382.5,0.4183
383.0,0.3872
383.5,0.3729
384.0,0.4113
384.5,0.605
385.0,0.5999
385.5,0.5587
386.0,0.4785
386.5,0.6285
387.0,0.5222
387.5,0.5866
388.0,0.5415
388.5,0.5353
389.0,0.5778
389.5,0.6998
390.0,0.7023
390.5,0.6463
391.0,0.7607
391.5,0.7759
392.0,0.6535
392.5,0.5851
393.0,0.3255
393.5,0.2366
394.0,0.4815
394.5,0.6121
395.0,0.7469
395.5,0.7588
396.0,0.6578
396.5,0.3845
397.0,0.2886
397.5,0.5868
398.0,0.8218
398.5,0.8495
399.0,0.9197
399.5,0.9166
400.0,0.9519
401.0,0.9674
402.0,1.02
403.0,0.9692
404.0,0.9543
405.0,0.9541
406.0,0.9384
407.0,0.9231
408.0,0.9592
409.0,1.027
410.0,0.8968
411.0,0.9713
412.0,1.043
413.0,1.017
414.0,1.029
415.0,1.032
416.0,1.05
417.0,1.024
418.0,1.005
419.0,1.018
420.0,1.013
421.0,1.06
422.0,1.007
423.0,0.984
424.0,1.041
425.0,1.039
426.0,1.011
427.0,0.9925
428.0,0.9668
429.0,0.9154
430.0,0.801
431.0,0.794
432.0,1.025
433.0,1.03
434.0,0.9568
435.0,0.9993
436.0,1.126
437.0,1.11
438.0,1.011
439.0,1.046
440.0,1.079
441.0,1.118
442.0,1.198
443.0,1.168
444.0,1.193
445.0,1.167
446.0,1.113
447.0,1.203
448.0,1.222
449.0,1.226
450.0,1.26
451.0,1.307
452.0,1.259
453.0,1.184
454.0,1.236
455.0,1.243
456.0,1.272
457.0,1.294
458.0,1.25
459.0,1.243
460.0,1.247
461.0,1.275
462.0,1.285
463.0,1.276
464.0,1.254
465.0,1.238
466.0,1.249
467.0,1.227
468.0,1.241
469.0,1.248
470.0,1.208
471.0,1.206
472.0,1.271
473.0,1.255
474.0,1.257
475.0,1.268
476.0,1.231
477.0,1.235
478.0,1.269
479.0,1.261
480.0,1.263
481.0,1.286
482.0,1.292
483.0,1.276
484.0,1.249
485.0,1.19
486.0,1.04
487.0,1.089
488.0,1.195
489.0,1.199
490.0,1.261
491.0,1.239
492.0,1.17
493.0,1.208
494.0,1.22
495.0,1.231
496.0,1.238
497.0,1.257
498.0,1.199
499.0,1.214
500.0,1.179
501.0,1.158
502.0,1.142
503.0,1.189
504.0,1.161
505.0,1.201
506.0,1.24
507.0,1.18
508.0,1.142
509.0,1.174
510.0,1.167
511.0,1.198
512.0,1.211
513.0,1.146
514.0,1.138
515.0,1.127
516.0,1.124
517.0,0.9985
518.0,1.05
519.0,1.101
520.0,1.141
521.0,1.152
522.0,1.153
523.0,1.133
524.0,1.174
525.0,1.188
526.0,1.135
527.0,1.07
528.0,1.132
529.0,1.193
530.0,1.176
531.0,1.194
532.0,1.153
533.0,1.119
534.0,1.152
535.0,1.177
536.0,1.188
537.0,1.141
538.0,1.161
539.0,1.151
540.0,1.104
541.0,1.112
542.0,1.147
543.0,1.134
544.0,1.154
545.0,1.151
546.0,1.156
547.0,1.155
548.0,1.141
549.0,1.144
550.0,1.158
551.0,1.144
552.0,1.152
553.0,1.131
554.0,1.158
555.0,1.161
556.0,1.146
557.0,1.11
558.0,1.102
559.0,1.082
560.0,1.096
561.0,1.11
562.0,1.103
563.0,1.133
564.0,1.103
565.0,1.093
566.0,1.078
567.0,1.098
568.0,1.09
569.0,1.066
570.0,1.065
571.0,1.058
572.0,1.085
573.0,1.097
574.0,1.094
575.0,1.074
576.0,1.064
577.0,1.075
578.0,1.059
579.0,1.062
580.0,1.081
581.0,1.085
582.0,1.105
583.0,1.107
584.0,1.116
585.0,1.088
586.0,1.066
587.0,1.09
588.0,1.066
589.0,0.9494
590.0,0.9924
591.0,1.047
592.0,1.036
593.0,1.049
594.0,1.042
595.0,1.018
596.0,1.054
597.0,1.044
598.0,1.04
599.0,1.04
600.0,1.041
601.0,1.032
602.0,1.025
603.0,1.041
604.0,1.058
605.0,1.052
606.0,1.048
607.0,1.058
608.0,1.046
609.0,1.047
610.0,1.039
611.0,1.044
612.0,1.041
613.0,1.028
614.0,1.013
615.0,1.035
616.0,1.001
617.0,0.9984
618.0,1.037
619.0,1.026
620.0,1.033
621.0,1.034
622.0,1.022
623.0,1.007
624.0,0.9893
625.0,0.9871
626.0,1.002
627.0,1.014
628.0,0.9576
629.0,0.9936
630.0,0.9711
631.0,0.9893
632.0,0.9769
633.0,1.005
634.0,0.9941
635.0,1.009
636.0,0.995
637.0,1.011
638.0,1.02
639.0,1.008
640.0,0.9976
641.0,0.9966
642.0,0.9917
643.0,1.005
644.0,1.001
645.0,1.003
646.0,0.981
647.0,0.9723
648.0,0.9735
649.0,0.9548
650.0,0.9557
651.0,0.9964
652.0,0.9591
653.0,0.9831
654.0,0.9717
655.0,0.9376
656.0,0.8295
657.0,0.8517
658.0,0.9533
659.0,0.9596
660.0,0.9634
661.0,0.9701
662.0,0.9728
663.0,0.9533
664.0,0.9635
665.0,0.9635
666.0,0.9639
667.0,0.9626
668.0,0.9626
669.0,0.9772
670.0,0.9728
671.0,0.9724
672.0,0.964
673.0,0.9783
674.0,0.9745
675.0,0.9655
676.0,0.9719
677.0,0.9622
678.0,0.9648
679.0,0.9491
680.0,0.9566
681.0,0.9502
682.0,0.949
683.0,0.9471
684.0,0.9424
685.0,0.9503
686.0,0.9449
687.0,0.6743
688.0,0.7676
689.0,0.7696
690.0,0.7997
691.0,0.8332
692.0,0.8568
693.0,0.8506
694.0,0.8436
695.0,0.8728
696.0,0.874
697.0,0.9203
698.0,0.9062
699.0,0.8891
700.0,0.8785
701.0,0.8711
702.0,0.8753
703.0,0.8769
704.0,0.9022
705.0,0.9035
706.0,0.9016
707.0,0.9019
708.0,0.9039
709.0,0.9035
710.0,0.9043
711.0,0.9025
712.0,0.899
713.0,0.8907
714.0,0.8939
715.0,0.8674
716.0,0.8684
717.0,0.7704
718.0,0.7106
719.0,0.6528
720.0,0.685
721.0,0.7455
722.0,0.8412
723.0,0.7892
724.0,0.7179
725.0,0.7089
726.0,0.7407
727.0,0.7473
728.0,0.7078
729.0,0.7281
730.0,0.7703
731.0,0.7389
732.0,0.7839
733.0,0.8235
734.0,0.8413
735.0,0.8248
736.0,0.8236
737.0,0.8271
738.0,0.8357
739.0,0.8194
740.0,0.8394
741.0,0.8303
742.0,0.8303
743.0,0.8512
744.0,0.8484
745.0,0.8482
746.0,0.852
747.0,0.8538
748.0,0.852
749.0,0.8422
750.0,0.8417
751.0,0.8331
752.0,0.8367
753.0,0.8409
754.0,0.8428
755.0,0.838
756.0,0.8376
757.0,0.8388
758.0,0.8285
759.0,0.8141
760.0,0.1833
761.0,0.1071
762.0,0.4643
763.0,0.261
764.0,0.3665
765.0,0.4646
766.0,0.5474
767.0,0.6683
768.0,0.7537
769.0,0.7656
770.0,0.7873
771.0,0.7917
772.0,0.7928
773.0,0.7982
774.0,0.7942
775.0,0.7881
776.0,0.7976
777.0,0.7871
778.0,0.7823
779.0,0.783
780.0,0.7785
781.0,0.7793
782.0,0.7841
783.0,0.7704
784.0,0.7741
785.0,0.7685
786.0,0.7771
787.0,0.7654
788.0,0.7567
