interpolation:linear
wavelength,value
280.0,2.495e-21
280.5,7.858000000000001e-20
281.0,4.152e-19
281.5,3.643e-19
282.0,1.022e-18
282.5,2.679e-18
283.0,8.657e-18
283.5,1.417e-17
284.0,2.312e-16
284.5,6.679e-16
285.0,1.495e-15
285.5,7.215e-15
286.0,2.882e-14
286.5,1.269e-13
287.0,3.591e-13
287.5,1.358e-12
288.0,3.681e-12
288.5,1.212e-11
289.0,3.417e-11
289.5,1.076e-10
290.0,3.062e-10
290.5,6.349e-10
291.0,1.384e-09
291.5,4.025e-09
292.0,8.481e-09
292.5,1.266e-08
293.0,2.933e-08
293.5,7.893e-08
294.0,1.322e-07
294.5,1.672e-07
295.0,2.994e-07
295.5,7.424e-07
296.0,1.457e-06
296.5,2.079e-06
297.0,2.869e-06
297.5,7.983e-06
298.0,1.307e-05
298.5,1.361e-05
299.0,3.118e-05
299.5,5.63e-05
300.0,6.548e-05
300.5,0.0001013
301.0,0.0002092
301.5,0.0003884
302.0,0.0003651
302.5,0.0007085
303.0,0.001262
303.5,0.001584
304.0,0.001495
304.5,0.002269
305.0,0.003534
305.5,0.004115
306.0,0.004
306.5,0.005029
307.0,0.007659
307.5,0.01045
308.0,0.01105
308.5,0.0132
309.0,0.01333
309.5,0.01518
310.0,0.01521
310.5,0.02456
311.0,0.03075
311.5,0.02959
312.0,0.02961
312.5,0.03603
313.0,0.03903
313.5,0.03768
314.0,0.04721
314.5,0.04209
315.0,0.05522
315.5,0.04579
316.0,0.04019
316.5,0.05799
317.0,0.07173
317.5,0.07419
318.0,0.05803
318.5,0.07274
319.0,0.08665
319.5,0.06957
320.0,0.08362
320.5,0.1058
321.0,0.09528
321.5,0.09117
322.0,0.09528
322.5,0.08265
323.0,0.08288
323.5,0.103
324.0,0.12
324.5,0.121
325.0,0.103
325.5,0.1332
326.0,0.1633
326.5,0.1638
327.0,0.1624
327.5,0.1559
328.0,0.1375
328.5,0.1451
329.0,0.1744
329.5,0.1978
330.0,0.1984
330.5,0.1572
331.0,0.1593
331.5,0.162
332.0,0.1757
332.5,0.1738
333.0,0.1723
333.5,0.1545
334.0,0.1576
334.5,0.1824
335.0,0.1715
335.5,0.2025
336.0,0.1397
336.5,0.1602
337.0,0.1306
337.5,0.1616
338.0,0.1582
338.5,0.1842
339.0,0.181
339.5,0.174
340.0,0.2015
340.5,0.1811
341.0,0.1775
341.5,0.1615
342.0,0.1921
342.5,0.1788
343.0,0.1966
343.5,0.1849
344.0,0.1354
344.5,0.1378
345.0,0.1803
345.5,0.183
346.0,0.1547
346.5,0.1744
347.0,0.187
347.5,0.1508
348.0,0.1708
348.5,0.1698
349.0,0.1569
349.5,0.1548
350.0,0.1907
350.5,0.2005
351.0,0.1786
351.5,0.1737
352.0,0.1854
352.5,0.1439
353.0,0.1804
353.5,0.1921
354.0,0.1986
354.5,0.2007
355.0,0.1993
355.5,0.1794
356.0,0.187
356.5,0.159
357.0,0.1309
357.5,0.1597
358.0,0.1261
358.5,0.1073
359.0,0.1496
359.5,0.19
360.0,0.2006
360.5,0.1597
361.0,0.1451
361.5,0.1664
362.0,0.1434
362.5,0.1977
363.0,0.1769
363.5,0.1623
364.0,0.1978
364.5,0.1684
365.0,0.1709
365.5,0.2137
366.0,0.2256
366.5,0.2112
367.0,0.2049
367.5,0.2119
368.0,0.1847
368.5,0.1857
369.0,0.1998
369.5,0.2122
370.0,0.2253
370.5,0.1742
371.0,0.1855
371.5,0.2312
372.0,0.1529
372.5,0.1826
373.0,0.1851
373.5,0.12
374.0,0.1737
374.5,0.1433
375.0,0.1388
375.5,0.2065
376.0,0.1705
376.5,0.176
377.0,0.1857
377.5,0.2164
378.0,0.2337
378.5,0.2201
379.0,0.1809
379.5,0.1646
380.0,0.1704
380.5,0.2056
381.0,0.2052
381.5,0.162
382.0,0.1433
382.5,0.1217
383.0,0.1122
383.5,0.1077
384.0,0.1184
384.5,0.1734
385.0,0.1713
385.5,0.159
386.0,0.1356
386.5,0.1775
387.0,0.1469
387.5,0.1644
388.0,0.1512
388.5,0.1489
389.0,0.1601
389.5,0.1931
390.0,0.1931
390.5,0.177
391.0,0.2075
391.5,0.2108
392.0,0.1769
392.5,0.1577
393.0,0.08743
393.5,0.06332
394.0,0.1284
394.5,0.1626
395.0,0.1977
395.5,0.2
396.0,0.1727
396.5,0.1006
397.0,0.0752
397.5,0.1523
398.0,0.2125
398.5,0.2188
399.0,0.2361
399.5,0.2344
400.0,0.2425
401.0,0.2382
402.0,0.2493
403.0,0.235
404.0,0.2296
405.0,0.2278
406.0,0.2224
407.0,0.217
408.0,0.2237
409.0,0.2377
410.0,0.2062
411.0,0.2216
412.0,0.2363
413.0,0.2287
414.0,0.2297
415.0,0.2285
416.0,0.2307
417.0,0.2232
418.0,0.2174
419.0,0.2185
420.0,0.2159
421.0,0.224
422.0,0.2112
423.0,0.2047
424.0,0.2147
425.0,0.2126
426.0,0.2055
427.0,0.2002
428.0,0.1936
429.0,0.182
430.0,0.1581
431.0,0.1554
432.0,0.199
433.0,0.1985
434.0,0.1829
435.0,0.1896
436.0,0.2121
437.0,0.2077
438.0,0.1877
439.0,0.1926
440.0,0.1972
441.0,0.2027
442.0,0.2156
443.0,0.2084
444.0,0.2114
445.0,0.2053
446.0,0.1945
447.0,0.2087
448.0,0.2102
449.0,0.2094
450.0,0.2135
451.0,0.2197
452.0,0.21
453.0,0.1961
454.0,0.2032
455.0,0.2028
456.0,0.206
457.0,0.2077
458.0,0.1989
459.0,0.1963
460.0,0.1952
461.0,0.1981
462.0,0.1982
463.0,0.1955
464.0,0.1911
465.0,0.1874
466.0,0.1878
467.0,0.1829
468.0,0.1835
469.0,0.1829
470.0,0.1757
471.0,0.1743
472.0,0.1823
473.0,0.1786
474.0,0.1775
475.0,0.1775
476.0,0.1708
477.0,0.1698
478.0,0.173
479.0,0.1704
480.0,0.1693
481.0,0.1709
482.0,0.1704
483.0,0.1671
484.0,0.1625
485.0,0.1538
486.0,0.1336
487.0,0.139
488.0,0.1513
489.0,0.1506
490.0,0.1572
491.0,0.1533
492.0,0.1437
493.0,0.1473
494.0,0.1476
495.0,0.1478
496.0,0.1476
497.0,0.1487
498.0,0.1405
499.0,0.1411
500.0,0.1358
501.0,0.1321
502.0,0.129
503.0,0.133
504.0,0.1285
505.0,0.1321
506.0,0.1355
507.0,0.128
508.0,0.1232
509.0,0.1258
510.0,0.1244
511.0,0.1269
512.0,0.1273
513.0,0.1196
514.0,0.1178
515.0,0.1158
516.0,0.1147
517.0,0.1012
518.0,0.1056
519.0,0.1099
520.0,0.113
521.0,0.1132
522.0,0.1124
523.0,0.1096
524.0,0.1126
525.0,0.113
526.0,0.1071
527.0,0.1001
528.0,0.105
529.0,0.1098
530.0,0.1074
531.0,0.1082
532.0,0.1037
533.0,0.09996
534.0,0.1022
535.0,0.1038
536.0,0.104
537.0,0.09926
538.0,0.1003
539.0,0.09882
540.0,0.09411
541.0,0.09403
542.0,0.09622
543.0,0.0945
544.0,0.09552
545.0,0.09464
546.0,0.09437
547.0,0.09366
548.0,0.0919
549.0,0.09156
550.0,0.09203
551.0,0.09028
552.0,0.09026
553.0,0.08803
554.0,0.08951
555.0,0.08906
556.0,0.08725
557.0,0.0839
558.0,0.08261
559.0,0.08042
560.0,0.08079
561.0,0.08119
562.0,0.07996
563.0,0.08152
564.0,0.07873
565.0,0.07749
566.0,0.0758
567.0,0.07666
568.0,0.0754
569.0,0.07303
570.0,0.07253
571.0,0.07161
572.0,0.07276
573.0,0.07306
574.0,0.07239
575.0,0.07061
576.0,0.06954
577.0,0.06988
578.0,0.06846
579.0,0.06839
580.0,0.06935
581.0,0.06934
582.0,0.07027
583.0,0.07009
584.0,0.07035
585.0,0.06825
586.0,0.06641
587.0,0.0674
588.0,0.06528
589.0,0.05731
590.0,0.0596
591.0,0.06278
592.0,0.06151
593.0,0.06206
594.0,0.06116
595.0,0.05918
596.0,0.06125
597.0,0.06015
598.0,0.0596
599.0,0.05925
600.0,0.05899
601.0,0.05817
602.0,0.05744
603.0,0.05805
604.0,0.05867
605.0,0.05806
606.0,0.05755
607.0,0.05785
608.0,0.05692
609.0,0.05674
610.0,0.05608
611.0,0.05612
612.0,0.05569
613.0,0.05472
614.0,0.05372
615.0,0.05463
616.0,0.05259
617.0,0.05223
618.0,0.05398
619.0,0.05318
620.0,0.05324
621.0,0.05302
622.0,0.05211
623.0,0.05103
624.0,0.04989
625.0,0.04955
626.0,0.05004
627.0,0.05032
628.0,0.04638
629.0,0.04848
630.0,0.04711
631.0,0.04804
632.0,0.04726
633.0,0.04853
634.0,0.04788
635.0,0.0484
636.0,0.04754
637.0,0.0481
638.0,0.04836
639.0,0.0476
640.0,0.04692
641.0,0.04667
642.0,0.04626
643.0,0.04669
644.0,0.04633
645.0,0.04616
646.0,0.04481
647.0,0.04397
648.0,0.04376
649.0,0.0427
650.0,0.04281
651.0,0.04447
652.0,0.04225
653.0,0.04345
654.0,0.04278
655.0,0.04089
656.0,0.03611
657.0,0.03693
658.0,0.04124
659.0,0.04136
660.0,0.04133
661.0,0.04141
662.0,0.04128
663.0,0.0403
664.0,0.04062
665.0,0.04047
666.0,0.04032
667.0,0.04011
668.0,0.03996
669.0,0.04039
670.0,0.04001
671.0,0.03983
672.0,0.03934
673.0,0.03979
674.0,0.03944
675.0,0.03889
676.0,0.03898
677.0,0.03843
678.0,0.03838
679.0,0.03759
680.0,0.03772
681.0,0.03729
682.0,0.03706
683.0,0.03681
684.0,0.03644
685.0,0.03657
686.0,0.03618
687.0,0.0227
688.0,0.02701
689.0,0.02699
690.0,0.02836
691.0,0.02994
692.0,0.03108
693.0,0.03065
694.0,0.0302
695.0,0.03147
696.0,0.03135
697.0,0.03341
698.0,0.03274
699.0,0.03163
700.0,0.0311
701.0,0.03061
702.0,0.03075
703.0,0.03065
704.0,0.03157
705.0,0.03145
706.0,0.03132
707.0,0.03121
708.0,0.03112
709.0,0.03106
