interpolation:linear
wavelength,value
280.0,7e-20
280.5,1.926e-18
281.0,3.064e-19
281.5,4.867e-19
282.0,2.239e-18
282.5,6.434e-18
283.0,2.161e-17
283.5,3.576e-17
284.0,5.644e-16
284.5,1.591e-15
285.0,3.449e-15
285.5,2.196e-14
286.0,9.495e-14
286.5,4.699e-13
287.0,1.42e-12
287.5,5.743e-12
288.0,1.708e-11
288.5,6.826e-11
289.0,2.311e-10
289.5,8.762e-10
290.0,2.891e-09
290.5,6.784e-09
291.0,1.708e-08
291.5,5.936e-08
292.0,1.553e-07
292.5,2.429e-07
293.0,5.978e-07
293.5,1.76e-06
294.0,3.184e-06
294.5,4.119e-06
295.0,7.945e-06
295.5,1.871e-05
296.0,3.52e-05
296.5,4.797e-05
297.0,6.352e-05
297.5,0.0001647
298.0,0.000252
298.5,0.0002477
299.0,0.0005336
299.5,0.000849
300.0,0.0009123
300.5,0.001289
301.0,0.002239
301.5,0.003437
302.0,0.002884
302.5,0.005413
303.0,0.009225
303.5,0.01123
304.0,0.01031
304.5,0.01448
305.0,0.02018
305.5,0.02193
306.0,0.0208
306.5,0.02505
307.0,0.03455
307.5,0.04288
308.0,0.04479
308.5,0.05116
309.0,0.04916
309.5,0.05369
310.0,0.05277
310.5,0.08454
311.0,0.1042
311.5,0.09977
312.0,0.09588
312.5,0.1136
313.0,0.1215
313.5,0.1195
314.0,0.1447
314.5,0.123
315.0,0.1604
315.5,0.1369
316.0,0.1155
316.5,0.161
317.0,0.2
317.5,0.2098
318.0,0.1604
318.5,0.1915
319.0,0.2229
319.5,0.1874
320.0,0.2275
320.5,0.2736
321.0,0.2351
321.5,0.2246
322.0,0.2486
322.5,0.2158
323.0,0.2096
323.5,0.2515
324.0,0.2924
324.5,0.2998
325.0,0.2625
325.5,0.3308
326.0,0.4018
326.5,0.397
327.0,0.3975
327.5,0.3863
328.0,0.3501
328.5,0.3601
329.0,0.4238
329.5,0.4785
330.0,0.4846
330.5,0.3929
331.0,0.402
331.5,0.4046
332.0,0.4309
332.5,0.4235
333.0,0.4237
333.5,0.3875
334.0,0.3976
334.5,0.4533
335.0,0.423
335.5,0.494
336.0,0.3418
336.5,0.4015
337.0,0.331
337.5,0.4123
338.0,0.3987
338.5,0.4599
339.0,0.4551
339.5,0.4377
340.0,0.5144
340.5,0.4632
341.0,0.4519
341.5,0.4147
342.0,0.4954
342.5,0.4634
343.0,0.5097
343.5,0.48
344.0,0.3545
344.5,0.3582
345.0,0.4738
345.5,0.4835
346.0,0.4108
346.5,0.465
347.0,0.4993
347.5,0.4036
348.0,0.46
348.5,0.4596
349.0,0.4263
349.5,0.422
350.0,0.5218
350.5,0.5504
351.0,0.4917
351.5,0.478
352.0,0.5132
352.5,0.4004
353.0,0.5041
353.5,0.539
354.0,0.5594
354.5,0.5673
355.0,0.5654
355.5,0.5107
356.0,0.5342
356.5,0.4561
357.0,0.3769
357.5,0.4614
358.0,0.3656
358.5,0.3124
359.0,0.437
359.5,0.5569
360.0,0.5903
360.5,0.4718
361.0,0.43
361.5,0.495
362.0,0.4279
362.5,0.592
363.0,0.5316
363.5,0.4896
364.0,0.5987
364.5,0.5117
365.0,0.5211
365.5,0.654
366.0,0.6928
366.5,0.6508
367.0,0.6337
367.5,0.6576
368.0,0.5755
368.5,0.5806
369.0,0.627
369.5,0.6682
