interpolation:linear
wavelength,value
280.0,2.235e-21
280.5,7.059e-20
281.0,3.734e-19
281.5,3.91e-19
282.0,1.025e-18
282.5,2.659e-18
283.0,8.548e-18
283.5,1.397e-17
284.0,2.272e-16
284.5,6.563e-16
285.0,1.449e-15
285.5,6.973e-15
286.0,2.783e-14
286.5,1.226e-13
287.0,3.467e-13
287.5,1.312e-12
288.0,3.613e-12
288.5,1.181e-11
289.0,3.311e-11
289.5,1.038e-10
290.0,2.945e-10
290.5,6.095e-10
291.0,1.326e-09
291.5,3.849e-09
292.0,7.992e-09
292.5,1.189e-08
293.0,2.739e-08
293.5,7.318e-08
294.0,1.218e-07
294.5,1.549e-07
295.0,2.761e-07
295.5,6.711e-07
296.0,1.318e-06
296.5,1.883e-06
297.0,2.599e-06
297.5,7.24e-06
298.0,1.187e-05
298.5,1.236e-05
299.0,2.836e-05
299.5,5.128e-05
300.0,5.971e-05
300.5,9.253e-05
301.0,0.0001915
301.5,0.0003568
302.0,0.0003362
302.5,0.0006537
303.0,0.001167
303.5,0.001468
304.0,0.001387
304.5,0.002115
305.0,0.003312
305.5,0.003869
306.0,0.003766
306.5,0.004747
307.0,0.007265
307.5,0.009958
308.0,0.01054
308.5,0.01262
309.0,0.01275
309.5,0.01457
310.0,0.01462
310.5,0.02363
311.0,0.02962
311.5,0.02853
312.0,0.02861
312.5,0.03488
313.0,0.03782
313.5,0.03649
314.0,0.04581
314.5,0.04096
315.0,0.05375
315.5,0.04452
316.0,0.03916
316.5,0.05661
317.0,0.07003
317.5,0.0724
318.0,0.0567
318.5,0.07125
319.0,0.08498
319.5,0.0681
320.0,0.08183
320.5,0.1038
321.0,0.09369
321.5,0.08967
322.0,0.0935
322.5,0.08112
323.0,0.08147
323.5,0.1013
324.0,0.118
324.5,0.119
325.0,0.1013
325.5,0.1312
326.0,0.1608
326.5,0.1614
327.0,0.1599
327.5,0.1535
328.0,0.1353
328.5,0.1429
329.0,0.1719
329.5,0.1951
330.0,0.1956
330.5,0.1549
331.0,0.157
331.5,0.1597
332.0,0.1734
332.5,0.1716
333.0,0.1701
333.5,0.1524
334.0,0.1555
334.5,0.18
335.0,0.1693
335.5,0.1999
336.0,0.1379
336.5,0.1582
337.0,0.1289
337.5,0.1596
338.0,0.1563
338.5,0.1819
339.0,0.1788
339.5,0.1719
340.0,0.1991
340.5,0.1789
341.0,0.1754
341.5,0.1596
342.0,0.1898
342.5,0.1767
343.0,0.1943
343.5,0.1827
344.0,0.1338
344.5,0.1362
345.0,0.1782
345.5,0.1809
346.0,0.1529
346.5,0.1724
347.0,0.1849
347.5,0.1491
348.0,0.1689
348.5,0.1679
349.0,0.1552
349.5,0.1531
350.0,0.1887
350.5,0.1983
351.0,0.1767
351.5,0.1718
352.0,0.1834
352.5,0.1423
353.0,0.1785
353.5,0.1901
354.0,0.1965
354.5,0.1986
355.0,0.1973
355.5,0.1775
356.0,0.185
356.5,0.1574
357.0,0.1296
357.5,0.158
358.0,0.1248
358.5,0.1062
359.0,0.1481
359.5,0.1881
360.0,0.1986
360.5,0.1581
361.0,0.1436
361.5,0.1647
362.0,0.1419
362.5,0.1957
363.0,0.1752
363.5,0.1608
364.0,0.1959
364.5,0.1668
365.0,0.1693
365.5,0.2117
366.0,0.2235
366.5,0.2092
367.0,0.203
367.5,0.2099
368.0,0.183
368.5,0.184
369.0,0.1979
369.5,0.2102
370.0,0.2233
370.5,0.1726
371.0,0.1838
371.5,0.2291
372.0,0.1515
372.5,0.181
373.0,0.1834
373.5,0.1189
374.0,0.1722
374.5,0.1421
375.0,0.1376
375.5,0.2046
376.0,0.169
376.5,0.1745
377.0,0.1841
377.5,0.2146
378.0,0.2317
378.5,0.2182
379.0,0.1793
379.5,0.1632
380.0,0.169
380.5,0.2039
381.0,0.2035
381.5,0.1607
382.0,0.1421
382.5,0.1207
383.0,0.1113
383.5,0.1068
384.0,0.1174
384.5,0.172
385.0,0.1699
385.5,0.1577
386.0,0.1345
386.5,0.176
387.0,0.1457
387.5,0.163
388.0,0.15
388.5,0.1477
389.0,0.1588
389.5,0.1916
390.0,0.1915
390.5,0.1756
391.0,0.2059
391.5,0.2092
392.0,0.1755
392.5,0.1565
393.0,0.08676
393.5,0.06283
394.0,0.1274
394.5,0.1614
395.0,0.1962
395.5,0.1985
396.0,0.1714
396.5,0.09984
397.0,0.07464
397.5,0.1512
398.0,0.2109
398.5,0.2172
399.0,0.2343
399.5,0.2327
400.0,0.2407
401.0,0.2365
402.0,0.2475
403.0,0.2333
404.0,0.228
405.0,0.2262
406.0,0.2208
407.0,0.2155
408.0,0.2222
409.0,0.2361
410.0,0.2048
411.0,0.2201
412.0,0.2347
413.0,0.2271
414.0,0.2282
415.0,0.227
416.0,0.2292
417.0,0.2218
418.0,0.216
419.0,0.2171
420.0,0.2145
421.0,0.2226
422.0,0.2099
423.0,0.2034
424.0,0.2134
425.0,0.2113
426.0,0.2043
427.0,0.199
428.0,0.1924
429.0,0.1809
430.0,0.1571
431.0,0.1545
432.0,0.1979
433.0,0.1974
434.0,0.1818
435.0,0.1885
436.0,0.2109
437.0,0.2065
438.0,0.1867
439.0,0.1916
440.0,0.1961
441.0,0.2016
442.0,0.2144
443.0,0.2073
444.0,0.2102
445.0,0.2042
446.0,0.1935
447.0,0.2076
448.0,0.2091
449.0,0.2083
450.0,0.2124
451.0,0.2185
452.0,0.2089
453.0,0.1951
454.0,0.2022
455.0,0.2018
456.0,0.2049
457.0,0.2066
458.0,0.1979
459.0,0.1953
460.0,0.1942
461.0,0.1971
462.0,0.1972
463.0,0.1945
464.0,0.1901
465.0,0.1864
466.0,0.1869
467.0,0.182
468.0,0.1826
469.0,0.182
470.0,0.1749
471.0,0.1734
472.0,0.1814
473.0,0.1777
474.0,0.1766
475.0,0.1767
476.0,0.17
477.0,0.169
478.0,0.1721
479.0,0.1696
480.0,0.1685
481.0,0.17
482.0,0.1696
483.0,0.1663
484.0,0.1618
485.0,0.1531
486.0,0.1329
487.0,0.1383
488.0,0.1506
489.0,0.1499
490.0,0.1564
491.0,0.1526
492.0,0.143
493.0,0.1466
494.0,0.1469
495.0,0.1471
496.0,0.1469
497.0,0.148
498.0,0.1399
499.0,0.1404
500.0,0.1351
501.0,0.1314
502.0,0.1284
503.0,0.1324
504.0,0.1278
505.0,0.1315
506.0,0.1348
