interpolation:linear
wavelength,value
280.0,5.769e-21
280.5,1.21e-19
281.0,5.561e-19
281.5,1.153e-17
282.0,7.144e-17
282.5,2.307e-16
283.0,8.437e-16
283.5,1.441e-15
284.0,2.408e-14
284.5,6.801e-14
285.0,1.586e-13
285.5,9.838e-13
286.0,4.187e-12
286.5,2.013e-11
287.0,5.933e-11
287.5,2.318e-10
288.0,7.355e-10
288.5,2.577e-09
289.0,7.597e-09
289.5,2.468e-08
290.0,7.144e-08
290.5,1.496e-07
291.0,3.29e-07
291.5,9.687e-07
292.0,2.092e-06
292.5,2.89e-06
293.0,6.061e-06
293.5,1.427e-05
294.0,2.171e-05
294.5,4.234e-05
295.0,7.137e-05
295.5,0.000141
296.0,0.0002422
296.5,0.0003024
297.0,0.0003732
297.5,0.0008743
298.0,0.00123
298.5,0.001135
299.0,0.002302
299.5,0.003309
300.0,0.003365
300.5,0.004499
301.0,0.007169
301.5,0.01021
302.0,0.008254
302.5,0.01486
303.0,0.02405
303.5,0.02841
304.0,0.02564
304.5,0.03449
305.0,0.0454
305.5,0.04764
306.0,0.04458
306.5,0.05253
307.0,0.06921
307.5,0.08235
308.0,0.0854
308.5,0.09559
309.0,0.08936
309.5,0.09461
310.0,0.09164
310.5,0.1457
311.0,0.1774
311.5,0.169
312.0,0.1583
312.5,0.1844
313.0,0.1954
313.5,0.1936
314.0,0.2298
314.5,0.1902
315.0,0.2467
315.5,0.2132
316.0,0.1761
316.5,0.2409
317.0,0.2993
317.5,0.3155
318.0,0.2381
318.5,0.2778
319.0,0.3195
319.5,0.2735
320.0,0.3328
320.5,0.391
321.0,0.3291
321.5,0.3136
322.0,0.3547
322.5,0.3075
323.0,0.2943
323.5,0.348
324.0,0.4034
324.5,0.4161
325.0,0.3672
325.5,0.4573
326.0,0.5526
326.5,0.5417
327.0,0.5437
327.5,0.5301
328.0,0.4853
328.5,0.4927
329.0,0.5742
329.5,0.6464
330.0,0.6559
330.5,0.5355
331.0,0.5491
331.5,0.5494
332.0,0.5804
332.5,0.5683
333.0,0.5697
333.5,0.5237
334.0,0.5377
334.5,0.6089
335.0,0.566
335.5,0.6605
336.0,0.4568
336.5,0.5376
337.0,0.4442
337.5,0.5538
338.0,0.5325
338.5,0.614
339.0,0.6073
339.5,0.5838
340.0,0.6863
340.5,0.6175
341.0,0.6022
341.5,0.5525
342.0,0.66
342.5,0.6171
343.0,0.6785
343.5,0.6388
344.0,0.4716
344.5,0.4764
345.0,0.6299
345.5,0.6426
346.0,0.5457
346.5,0.6176
347.0,0.6628
347.5,0.5357
348.0,0.6103
348.5,0.6097
349.0,0.5652
349.5,0.5594
350.0,0.6915
350.5,0.7291
351.0,0.6512
351.5,0.6329
352.0,0.6793
352.5,0.5298
353.0,0.6668
353.5,0.7127
354.0,0.7396
354.5,0.7499
355.0,0.7472
355.5,0.6746
356.0,0.7055
356.5,0.6023
357.0,0.4976
357.5,0.609
358.0,0.4825
358.5,0.4122
359.0,0.5765
359.5,0.7347
360.0,0.7786
360.5,0.6221
361.0,0.5668
361.5,0.6521
362.0,0.5634
362.5,0.7792
363.0,0.6994
363.5,0.6439
364.0,0.7871
364.5,0.6726
365.0,0.6848
365.5,0.8591
366.0,0.9098
366.5,0.8544
367.0,0.8318
367.5,0.863
368.0,0.7549
368.5,0.7615
369.0,0.8221
369.5,0.876
370.0,0.9335
370.5,0.7242
371.0,0.7736
371.5,0.9676
372.0,0.6421
372.5,0.7696
373.0,0.7825
373.5,0.509
374.0,0.7394
374.5,0.6121
375.0,0.5949
375.5,0.888
376.0,0.736
376.5,0.7626
377.0,0.8071
377.5,0.944
378.0,1.023
378.5,0.967
379.0,0.798
379.5,0.7289
380.0,0.7578
380.5,0.9175
381.0,0.919
381.5,0.7281
382.0,0.6464
382.5,0.5507
383.0,0.5097
383.5,0.4907
384.0,0.5412
384.5,0.7958
385.0,0.789
385.5,0.7345
386.0,0.6289
386.5,0.8258
387.0,0.6861
387.5,0.7705
388.0,0.7112
388.5,0.7029
389.0,0.7586
389.5,0.9185
390.0,0.9216
390.5,0.848
391.0,0.9979
391.5,1.018
392.0,0.857
392.5,0.767
393.0,0.4266
393.5,0.31
394.0,0.6308
394.5,0.8018
395.0,0.9782
395.5,0.9936
396.0,0.8613
396.5,0.5033
397.0,0.3776
397.5,0.7678
398.0,1.075
398.5,1.111
399.0,1.203
399.5,1.198
400.0,1.245
401.0,1.267
402.0,1.336
403.0,1.268
404.0,1.248
405.0,1.247
406.0,1.226
407.0,1.206
408.0,1.253
409.0,1.34
410.0,1.17
411.0,1.267
412.0,1.36
413.0,1.326
414.0,1.342
415.0,1.344
416.0,1.367
417.0,1.333
418.0,1.308
419.0,1.325
420.0,1.318
421.0,1.379
422.0,1.31
423.0,1.279
424.0,1.353
425.0,1.349
426.0,1.313
427.0,1.288
428.0,1.255
429.0,1.188
430.0,1.039
431.0,1.03
432.0,1.329
433.0,1.335
434.0,1.24
435.0,1.295
436.0,1.458
437.0,1.437
438.0,1.308
439.0,1.354
440.0,1.396
441.0,1.446
442.0,1.55
443.0,1.51
444.0,1.542
445.0,1.509
446.0,1.439
447.0,1.554
448.0,1.579
449.0,1.583
450.0,1.627
451.0,1.687
452.0,1.625
453.0,1.527
454.0,1.594
455.0,1.603
456.0,1.641
457.0,1.668
458.0,1.612
459.0,1.603
460.0,1.607
461.0,1.644
462.0,1.656
463.0,1.644
464.0,1.616
465.0,1.594
466.0,1.608
467.0,1.579
468.0,1.598
469.0,1.606
470.0,1.555
471.0,1.553
472.0,1.636
473.0,1.615
474.0,1.618
475.0,1.633
476.0,1.586
477.0,1.591
478.0,1.635
479.0,1.624
480.0,1.626
481.0,1.655
482.0,1.662
483.0,1.64
484.0,1.606
485.0,1.529
486.0,1.336
487.0,1.399
488.0,1.535
489.0,1.54
490.0,1.62
491.0,1.591
492.0,1.502
493.0,1.551
494.0,1.567
495.0,1.58
496.0,1.589
497.0,1.614
498.0,1.539
499.0,1.559
500.0,1.514
501.0,1.487
502.0,1.468
503.0,1.529
504.0,1.496
505.0,1.545
506.0,1.595
507.0,1.517
508.0,1.468
509.0,1.508
510.0,1.499
511.0,1.538
512.0,1.554
513.0,1.471
514.0,1.46
515.0,1.446
516.0,1.442
517.0,1.281
518.0,1.347
519.0,1.413
520.0,1.465
521.0,1.479
522.0,1.48
523.0,1.454
524.0,1.507
525.0,1.526
526.0,1.458
527.0,1.375
528.0,1.455
529.0,1.534
530.0,1.513
531.0,1.536
532.0,1.483
533.0,1.439
534.0,1.482
535.0,1.513
536.0,1.527
537.0,1.466
538.0,1.491
539.0,1.479
540.0,1.418
541.0,1.429
542.0,1.475
543.0,1.458
544.0,1.484
545.0,1.48
546.0,1.487
547.0,1.486
548.0,1.467
549.0,1.471
550.0,1.489
551.0,1.47
552.0,1.48
553.0,1.454
554.0,1.489
555.0,1.492
556.0,1.473
557.0,1.428
558.0,1.418
559.0,1.392
560.0,1.41
561.0,1.429
562.0,1.42
563.0,1.46
564.0,1.421
565.0,1.409
566.0,1.389
567.0,1.417
568.0,1.407
569.0,1.378
570.0,1.377
571.0,1.367
572.0,1.404
573.0,1.419
574.0,1.416
575.0,1.39
576.0,1.378
577.0,1.392
578.0,1.37
579.0,1.373
580.0,1.395
581.0,1.4
582.0,1.424
583.0,1.425
584.0,1.436
585.0,1.4
586.0,1.372
587.0,1.403
588.0,1.376
589.0,1.232
590.0,1.287
591.0,1.354
592.0,1.342
593.0,1.356
594.0,1.349
595.0,1.32
596.0,1.362
597.0,1.349
598.0,1.343
599.0,1.342
600.0,1.342
601.0,1.329
602.0,1.32
603.0,1.34
604.0,1.362
605.0,1.355
606.0,1.348
607.0,1.36
608.0,1.344
609.0,1.345
610.0,1.335
611.0,1.341
612.0,1.337
613.0,1.319
614.0,1.301
615.0,1.328
616.0,1.284
617.0,1.28
618.0,1.329
619.0,1.315
620.0,1.324
621.0,1.326
622.0,1.311
623.0,1.292
624.0,1.269
625.0,1.266
626.0,1.285
627.0,1.302
628.0,1.243
629.0,1.281
630.0,1.252
631.0,1.271
632.0,1.254
633.0,1.289
634.0,1.273
635.0,1.291
636.0,1.273
637.0,1.292
638.0,1.303
639.0,1.287
640.0,1.273
641.0,1.272
642.0,1.265
643.0,1.282
644.0,1.277
645.0,1.279
646.0,1.253
647.0,1.245
648.0,1.247
649.0,1.224
650.0,1.22
651.0,1.271
652.0,1.229
653.0,1.254
654.0,1.239
655.0,1.198
656.0,1.058
657.0,1.086
658.0,1.214
659.0,1.222
660.0,1.226
661.0,1.235
662.0,1.239
663.0,1.214
664.0,1.225
665.0,1.224
666.0,1.225
667.0,1.222
668.0,1.222
669.0,1.24
670.0,1.234
671.0,1.234
672.0,1.223
673.0,1.241
674.0,1.236
675.0,1.224
676.0,1.232
677.0,1.22
678.0,1.223
679.0,1.203
680.0,1.212
681.0,1.204
682.0,1.202
683.0,1.2
684.0,1.194
685.0,1.204
686.0,1.197
687.0,0.9159
688.0,1.014
689.0,1.015
690.0,1.046
691.0,1.079
692.0,1.101
693.0,1.094
694.0,1.086
695.0,1.117
696.0,1.118
697.0,1.168
698.0,1.15
699.0,1.135
700.0,1.121
701.0,1.113
702.0,1.117
703.0,1.119
704.0,1.147
705.0,1.149
706.0,1.145
707.0,1.145
708.0,1.148
709.0,1.145
710.0,1.147
711.0,1.144
712.0,1.139
713.0,1.129
714.0,1.133
715.0,1.102
716.0,1.103
717.0,1.002
718.0,0.9291
719.0,0.8568
720.0,0.9
721.0,0.9648
722.0,1.072
723.0,1.015
724.0,0.933
725.0,0.9244
726.0,0.9633
727.0,0.9673
728.0,0.9238
729.0,0.942
730.0,0.9952
731.0,0.9581
732.0,1.008
733.0,1.05
734.0,1.071
735.0,1.051
736.0,1.049
737.0,1.054
738.0,1.059
739.0,1.039
740.0,1.063
741.0,1.05
742.0,1.049
743.0,1.075
744.0,1.071
745.0,1.07
746.0,1.075
747.0,1.077
748.0,1.075
749.0,1.063
750.0,1.062
751.0,1.051
752.0,1.056
753.0,1.061
754.0,1.063
755.0,1.057
756.0,1.057
757.0,1.058
758.0,1.045
759.0,1.03
760.0,0.3131
761.0,0.2037
762.0,0.6548
763.0,0.4149
764.0,0.5435
765.0,0.6554
766.0,0.741
767.0,0.875
768.0,0.9641
769.0,0.9744
770.0,0.9964
771.0,0.9995
772.0,1.0
773.0,1.007
774.0,1.002
775.0,0.9937
776.0,1.006
777.0,0.9923
778.0,0.9863
779.0,0.9872
780.0,0.9815
781.0,0.9825
782.0,0.9885
783.0,0.9712
784.0,0.9757
785.0,0.9689
786.0,0.9799
787.0,0.9673
788.0,0.9575
789.0,0.9578
790.0,0.9393
791.0,0.9408
792.0,0.9331
793.0,0.9187
794.0,0.9271
795.0,0.9446
796.0,0.925
797.0,0.9263
798.0,0.9445
799.0,0.9403
800.0,0.9262
801.0,0.9253
802.0,0.9224
803.0,0.9165
804.0,0.9167
805.0,0.9112
806.0,0.9325
807.0,0.9223
808.0,0.9226
809.0,0.9086
810.0,0.9036
811.0,0.9089
812.0,0.8896
813.0,0.8755
814.0,0.7935
815.0,0.788
816.0,0.7373
817.0,0.7476
818.0,0.7248
819.0,0.7897
820.0,0.752
821.0,0.8512
822.0,0.8316
823.0,0.6111
824.0,0.8165
825.0,0.8381
826.0,0.8145
827.0,0.8506
828.0,0.7461
829.0,0.8079
830.0,0.8
831.0,0.8018
832.0,0.7818
833.0,0.8184
834.0,0.7978
835.0,0.8588
836.0,0.8328
837.0,0.8605
838.0,0.8383
839.0,0.8465
840.0,0.8638
841.0,0.8537
842.0,0.8524
843.0,0.8487
844.0,0.8387
845.0,0.8645
846.0,0.8603
847.0,0.8433
848.0,0.8394
849.0,0.8156
850.0,0.7812
851.0,0.8287
852.0,0.8222
853.0,0.7902
854.0,0.6833
855.0,0.7493
856.0,0.8194
857.0,0.8367
858.0,0.831
859.0,0.8311
860.0,0.8322
861.0,0.8277
862.0,0.8405
863.0,0.8604
864.0,0.8173
865.0,0.81
866.0,0.7283
867.0,0.76
868.0,0.827
869.0,0.8098
870.0,0.8328
871.0,0.8215
872.0,0.8186
873.0,0.8169
874.0,0.8072
875.0,0.7909
876.0,0.7992
877.0,0.8071
878.0,0.8162
879.0,0.8035
880.0,0.7863
881.0,0.7752
882.0,0.7922
883.0,0.794
884.0,0.7906
885.0,0.7966
886.0,0.7616
887.0,0.7679
888.0,0.7805
889.0,0.7871
890.0,0.7831
891.0,0.7804
892.0,0.7611
893.0,0.7417
894.0,0.7234
895.0,0.6937
896.0,0.6589
897.0,0.5807
898.0,0.6249
899.0,0.494
900.0,0.6311
901.0,0.5166
902.0,0.5821
903.0,0.5954
904.0,0.718
905.0,0.698
906.0,0.6572
907.0,0.5555
908.0,0.5637
909.0,0.5999
910.0,0.5493
911.0,0.5745
912.0,0.5957
913.0,0.5582
914.0,0.5504
915.0,0.5938
916.0,0.5095
917.0,0.6246
918.0,0.5227
919.0,0.6316
920.0,0.6292
921.0,0.6515
922.0,0.5959
923.0,0.6288
924.0,0.611
925.0,0.5984
926.0,0.6046
927.0,0.664
928.0,0.5241
929.0,0.4885
930.0,0.4008
931.0,0.3766
932.0,0.2882
933.0,0.2443
934.0,0.1552
935.0,0.2416
936.0,0.164
937.0,0.1684
938.0,0.2016
939.0,0.365
940.0,0.4273
941.0,0.3387
942.0,0.3813
943.0,0.2638
944.0,0.2668
945.0,0.3466
946.0,0.1942
947.0,0.3524
948.0,0.2623
949.0,0.4538
950.0,0.1554
951.0,0.4438
952.0,0.2625
953.0,0.3233
954.0,0.3793
955.0,0.325
956.0,0.3091
957.0,0.2654
958.0,0.4125
959.0,0.3456
960.0,0.3865
961.0,0.4203
962.0,0.3998
963.0,0.449
964.0,0.4155
965.0,0.4456
966.0,0.4488
967.0,0.4479
968.0,0.5613
969.0,0.5883
970.0,0.5463
971.0,0.6083
972.0,0.5851
973.0,0.5265
974.0,0.5026
975.0,0.5147
976.0,0.4975
977.0,0.5488
978.0,0.5287
979.0,0.5479
980.0,0.5191
981.0,0.6039
982.0,0.5835
983.0,0.5639
984.0,0.6157
985.0,0.581
986.0,0.6226
987.0,0.6144
988.0,0.6134
989.0,0.6183
990.0,0.6092
991.0,0.6206
992.0,0.6237
993.0,0.6139
994.0,0.6231
995.0,0.6217
996.0,0.6196
997.0,0.6202
998.0,0.6175
999.0,0.6151
1000.0,0.6118
1001.0,0.6183
1002.0,0.6053
1003.0,0.6076
1004.0,0.5938
1005.0,0.5706
1006.0,0.5936
1007.0,0.6058
1008.0,0.6033
1009.0,0.6008
1010.0,0.5987
1011.0,0.6026
1012.0,0.5982
1013.0,0.601
1014.0,0.5967
1015.0,0.5929
1016.0,0.5903
1017.0,0.592
1018.0,0.5893
1019.0,0.5782
1020.0,0.5864
1021.0,0.5853
1022.0,0.5813
1023.0,0.5876
1024.0,0.5815
1025.0,0.5867
1026.0,0.5846
1027.0,0.5831
1028.0,0.582
1029.0,0.5753
1030.0,0.5787
1031.0,0.5766
1032.0,0.5747
1033.0,0.5661
1034.0,0.5661
1035.0,0.5678
1036.0,0.571
1037.0,0.5616
1038.0,0.5642
1039.0,0.5639
1040.0,0.5617
1041.0,0.5641
1042.0,0.5601
1043.0,0.5584
1044.0,0.5605
1045.0,0.553
1046.0,0.547
1047.0,0.552
1048.0,0.5551
1049.0,0.5532
1050.0,0.5508
1051.0,0.5502
1052.0,0.5481
1053.0,0.5439
1054.0,0.5453
1055.0,0.5459
1056.0,0.5442
1057.0,0.5427
1058.0,0.5296
1059.0,0.5304
1060.0,0.5297
1061.0,0.5292
1062.0,0.5322
1063.0,0.5272
1064.0,0.5333
1065.0,0.53
1066.0,0.5191
1067.0,0.526
1068.0,0.5149
1069.0,0.4987
1070.0,0.5161
1071.0,0.5227
1072.0,0.5177
1073.0,0.51
1074.0,0.5217
1075.0,0.4998
1076.0,0.5215
1077.0,0.5146
1078.0,0.5058
1079.0,0.5125
1080.0,0.5068
1081.0,0.4925
1082.0,0.4968
1083.0,0.4974
1084.0,0.4926
1085.0,0.5074
1086.0,0.4703
1087.0,0.4799
1088.0,0.4977
1089.0,0.4865
1090.0,0.4788
1091.0,0.4972
1092.0,0.495
1093.0,0.4327
1094.0,0.4544
1095.0,0.4486
1096.0,0.4335
1097.0,0.4833
1098.0,0.428
1099.0,0.4443
1100.0,0.4192
1101.0,0.4226
1102.0,0.4071
1103.0,0.4058
1104.0,0.406
1105.0,0.4354
1106.0,0.3558
1107.0,0.418
1108.0,0.3682
1109.0,0.3662
1110.0,0.4159
1111.0,0.3012
1112.0,0.3623
1113.0,0.2509
1114.0,0.2776
1115.0,0.2308
1116.0,0.1973
1117.0,0.08804
1118.0,0.2093
1119.0,0.1158
1120.0,0.1456
1121.0,0.1855
1122.0,0.0886
1123.0,0.1313
1124.0,0.111
1125.0,0.1419
1126.0,0.06013
1127.0,0.1591
1128.0,0.1066
1129.0,0.1111
1130.0,0.07889
1131.0,0.2756
1132.0,0.2212
1133.0,0.1539
1134.0,0.04891
1135.0,0.01798
1136.0,0.1333
1137.0,0.2743
1138.0,0.1968
1139.0,0.2687
